																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	5750	28,57	29,65	30,61	37,39	38,06	46,49	75,57	8,729	1039	2108		45,02	1,084	1,084	0	36,22	1,032	8,605	0	25,22
	5800	29,2	30,3	31,28	37,87	38,79	46,97	76,23	8,815	1052	2132		45,49	1,101	1,101	0	36,68	1,032	8,605	0	25,22
	5850	29,83	30,95	31,95	38,36	39,53	47,46	76,89	8,901	1066	2156		45,96	1,118	1,118	0	37,16	1,032	8,605	0	25,22
	5900	30,48	31,61	32,63	38,85	40,28	47,95	77,54	8,984	1079	2183		46,43	1,135	1,135	0	37,63	1,032	8,605	0	25,22
	5950	31,13	32,28	33,32	39,33	41,03	48,43	78,2	9,065	1093	2213		46,9	1,153	1,153	0	38,1	1,032	8,605	0	25,22
	6000	31,78	32,95	34,01	39,81	41,79	48,91	78,86	9,146	1106	2243		47,37	1,17	1,17	0	38,57	1,032	8,605	0	25,22
	6050	32,09	33,28	34,36	39,88	42,2	48,98	79,52	9,224	1108	2248		47,44	1,188	1,188	0	38,63	1,032	8,605	0	25,22
	6100	32,4	33,6	34,69	39,94	42,59	49,04	80,17	9,303	1110	2252		47,49	1,206	1,206	0	38,69	1,032	8,605	0	25,22
	6150	32,57	33,79	34,89	39,84	42,85	48,94	80,83	9,385	1107	2245		47,4	1,224	1,224	0	38,59	1,032	8,605	0	25,22
	6200	32,56	33,81	34,9	39,54	42,93	48,64	81,49	9,47	1099	2223		47,1	1,243	1,243	0	38,3	1,032	8,605	0	25,22
	6250	32,56	33,82	34,92	39,24	43,02	48,34	82,14	9,556	1090	2202		46,81	1,261	1,261	0	38,01	1,032	8,605	0	25,22
	6300	32,6	33,88	34,98	38,99	43,14	48,1	82,8	9,64	1083	2187		46,58	1,28	1,28	0	37,77	1,032	8,605	0	25,22
	6350	32,64	33,94	35,03	38,75	43,26	47,85	83,46	9,724	1077	2173		46,34	1,299	1,299	0	37,54	1,032	8,605	0	25,22
	6400	32,75	34,07	35,17	38,6	43,46	47,7	84,12	9,809	1072	2164		46,19	1,318	1,318	0	37,39	1,032	8,605	0	25,22
	6450	32,9	34,24	35,34	38,49	43,7	47,59	84,77	9,894	1069	2157		46,08	1,337	1,337	0	37,28	1,032	8,605	0	25,22
	6500	33	34,36	35,47	38,33	43,89	47,43	85,43	9,979	1065	2147		45,93	1,356	1,356	0	37,13	1,032	8,605	0	25,22
	6550	33,02	34,4	35,51	38,08	44	47,18	86,09	10,06	1058	2131		45,69	1,376	1,376	0	36,89	1,032	8,605	0	25,22
	6600	33,05	34,44	35,56	37,84	44,11	46,94	86,74	10,15	1051	2115		45,46	1,396	1,396	0	36,65	1,032	8,605	0	25,22
	6650	32,9	34,31	35,42	37,41	44,04	46,51	87,4	10,24	1040	2089		45,05	1,416	1,416	0	36,24	1,032	8,605	0	25,22
	6700	32,74	34,18	35,28	36,99	43,96	46,09	88,06	10,33	1028	2063		44,63	1,436	1,436	0	35,83	1,032	8,605	0	25,22
	6750	32,49	33,95	35,05	36,47	43,79	45,57	88,72	10,42	1013	2031		44,13	1,456	1,456	0	35,33	1,032	8,605	0	25,22
	6800	32,22	33,7	34,79	35,94	43,6	45,04	89,37	10,51	998,5	1998		43,62	1,477	1,477	0	34,81	1,032	8,605	0	25,22
	6850	31,92	33,42	34,5	35,38	43,38	44,48	90,03	10,6	983	1963		43,07	1,497	1,497	0	34,27	1,032	8,605	0	25,22
	6900	31,6	33,12	34,19	34,8	43,13	43,9	90,69	10,7	967	1925		42,52	1,518	1,518	0	33,71	1,032	8,605	0	25,22
	6950	31,44	32,98	34,05	34,41	43,05	43,51	91,35	10,8	956,1	1901		42,14	1,539	1,539	0	33,33	1,032	8,605	0	25,22
	7000	31,43	32,99	34,06	34,18	43,13	43,28	92	10,9	949,6	1888		41,91	1,561	1,561	0	33,11	1,032	8,605	0	25,22
	7050	31,53	33,12	34,19	34,06	43,32	43,16	92,66	10,99	946,3	1883		41,8	1,582	1,582	0	32,99	1,032	8,605	0	25,22
	7100	31,76	33,37	34,44	34,07	43,64	43,17	93,32	11,09	946,7	1887		41,81	1,604	1,604	0	33,01	1,032	8,605	0	25,22
	7150	32,04	33,67	34,76	34,14	44,02	43,24	93,97	11,19	948,6	1893		41,88	1,626	1,626	0	33,07	1,032	8,605	0	25,22
	7200	32,41	34,06	35,16	34,3	44,49	43,4	94,63	11,28	953	1900		42,03	1,648	1,648	0	33,22	1,032	8,605	0	25,22
	7250	32,81	34,48	35,6	34,49	44,99	43,59	95,29	11,38	958,2	1909		42,21	1,67	1,67	0	33,41	1,032	8,605	0	25,22
	7300	33,3	34,99	36,12	34,75	45,58	43,85	95,95	11,47	965,6	1919		42,47	1,693	1,693	0	33,66	1,032	8,605	0	25,22
