																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	4850	20,03	20,84	21,5	31,14	27,29	39,52	63,74	6,683	865,5	1734		38,29	0,8075	0,8075	0	30,18	1,032	8,605	0	24,66
	4900	20,54	21,37	22,05	31,6	27,89	39,98	64,4	6,786	878,3	1762		38,73	0,8216	0,8216	0	30,62	1,032	8,605	0	24,66
	4950	21,1	21,94	22,64	32,12	28,55	40,5	65,06	6,887	892,9	1795		39,24	0,8357	0,8357	0	31,13	1,032	8,605	0	24,66
	5000	21,66	22,51	23,23	32,62	29,19	41	65,72	6,984	906,8	1826		39,72	0,8501	0,8501	0	31,61	1,032	8,605	0	24,66
	5050	22,21	23,08	23,81	33,12	29,84	41,49	66,37	7,08	920,5	1856		40,2	0,8645	0,8645	0	32,09	1,032	8,605	0	24,66
	5100	22,76	23,64	24,39	33,59	30,47	41,96	67,03	7,176	933,5	1883		40,66	0,8792	0,8792	0	32,55	1,032	8,605	0	24,66
	5150	23,3	24,19	24,96	34,04	31,11	42,42	67,69	7,273	946,2	1908		41,1	0,894	0,894	0	32,99	1,032	8,605	0	24,66
	5200	23,85	24,76	25,55	34,5	31,75	42,88	68,34	7,367	959	1935		41,54	0,909	0,909	0	33,43	1,032	8,605	0	24,66
	5250	24,41	25,34	26,14	34,97	32,41	43,35	69	7,458	972,1	1964		42	0,9241	0,9241	0	33,89	1,032	8,605	0	24,66
	5300	25	25,94	26,76	35,46	33,09	43,84	69,66	7,549	985,7	1993		42,48	0,9393	0,9393	0	34,37	1,032	8,605	0	24,66
	5350	25,62	26,57	27,42	35,99	33,8	44,37	70,32	7,639	1000	2025		42,99	0,9548	0,9548	0	34,88	1,032	8,605	0	24,66
	5400	26,24	27,21	28,08	36,52	34,52	44,9	70,97	7,728	1015	2056		43,5	0,9703	0,9703	0	35,39	1,032	8,605	0	24,66
	5450	26,86	27,85	28,74	37,03	35,24	45,4	71,63	7,813	1029	2084		43,99	0,9862	0,9862	0	35,88	1,032	8,605	0	24,66
	5500	27,48	28,48	29,39	37,53	35,95	45,91	72,29	7,898	1043	2112		44,48	1,002	1,002	0	36,37	1,032	8,605	0	24,66
	5550	27,98	28,99	29,92	37,86	36,54	46,24	72,94	7,983	1052	2128		44,8	1,018	1,018	0	36,69	1,032	8,605	0	24,66
	5600	28,43	29,47	30,41	38,14	37,09	46,51	73,6	8,068	1060	2141		45,06	1,034	1,034	0	36,96	1,032	8,605	0	24,66
	5650	28,86	29,91	30,86	38,37	37,6	46,74	74,26	8,153	1066	2152		45,29	1,051	1,051	0	37,18	1,032	8,605	0	24,66
	5700	29,24	30,3	31,27	38,53	38,07	46,91	74,92	8,238	1071	2162		45,45	1,067	1,067	0	37,34	1,032	8,605	0	24,66
	5750	29,62	30,7	31,68	38,7	38,54	47,08	75,57	8,323	1076	2173		45,61	1,084	1,084	0	37,5	1,032	8,605	0	24,66
	5800	30,03	31,13	32,13	38,9	39,05	47,28	76,23	8,405	1081	2186		45,81	1,101	1,101	0	37,7	1,032	8,605	0	24,66
	5850	30,44	31,56	32,57	39,1	39,55	47,48	76,89	8,487	1087	2200		46	1,118	1,118	0	37,89	1,032	8,605	0	24,66
	5900	30,82	31,95	32,98	39,25	40,01	47,63	77,54	8,569	1091	2203		46,15	1,135	1,135	0	38,04	1,032	8,605	0	24,66
	5950	31,17	32,33	33,36	39,37	40,46	47,75	78,2	8,651	1094	2200		46,27	1,153	1,153	0	38,16	1,032	8,605	0	24,66
	6000	31,54	32,71	33,76	39,51	40,92	47,89	78,86	8,734	1098	2196		46,4	1,17	1,17	0	38,29	1,032	8,605	0	24,66
