																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	7250	35,62	37,3	38,07	36,88	51,64	50,02	95,52	7,199	1034	2080		49,01	1,678	1,678	0	36,13	1,021	8,584	0	
	7300	36,31	38,01	38,8	37,33	52,46	50,48	96,18	7,286	1046	2106		49,45	1,701	1,701	0	36,57	1,021	8,584	0	
	7350	37,18	38,9	39,71	37,94	53,47	51,09	96,84	7,37	1064	2140		50,05	1,724	1,724	0	37,17	1,021	8,584	0	
	7400	38,05	39,8	40,62	38,55	54,48	51,7	97,5	7,454	1081	2175		50,66	1,747	1,747	0	37,77	1,021	8,584	0	
	7450	39,05	40,82	41,67	39,28	55,62	52,43	98,16	7,535	1101	2215		51,36	1,77	1,77	0	38,48	1,021	8,584	0	
	7500	40,1	41,9	42,77	40,04	56,81	53,19	98,81	7,615	1123	2259		52,11	1,794	1,794	0	39,23	1,021	8,584	0	
	7550	41,16	42,98	43,87	40,81	58	53,96	99,47	7,694	1144	2303		52,86	1,817	1,817	0	39,98	1,021	8,584	0	
	7600	42,24	44,08	45	41,57	59,23	54,72	100,1	7,769	1165	2347		53,61	1,841	1,841	0	40,73	1,021	8,584	0	
	7650	43,32	45,19	46,12	42,34	60,45	55,49	100,8	7,844	1187	2391		54,37	1,865	1,865	0	41,48	1,021	8,584	0	
	7700	44,42	46,31	47,27	43,11	61,68	56,26	101,4	7,918	1208	2435		55,12	1,889	1,889	0	42,23	1,021	8,584	0	
	7750	45,53	47,44	48,42	43,87	62,93	57,02	102,1	7,991	1230	2478		55,87	1,914	1,914	0	42,98	1,021	8,584	0	
	7800	46,63	48,57	49,58	44,64	64,18	57,79	102,8	8,063	1251	2521		56,62	1,939	1,939	0	43,73	1,021	8,584	0	
	7850	47,71	49,68	50,7	45,36	65,4	58,51	103,4	8,133	1272	2563		57,32	1,964	1,964	0	44,44	1,021	8,584	0	
	7900	48,78	50,77	51,82	46,07	66,61	59,21	104,1	8,202	1291	2606		58,01	1,989	1,989	0	45,13	1,021	8,584	0	
