																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	7450	39,84	41,61	42,57	40,13			98,16	6,622	1122	2243			1,77	1,77	0	39,23	1,023	8,584	0	26,05
	7500	40,66	42,46	43,44	40,68			98,81	6,701	1138	2276			1,794	1,794	0	39,76	1,023	8,584	0	26,05
	7550	41,53	43,34	44,35	41,25			99,47	6,779	1154	2312			1,817	1,817	0	40,31	1,023	8,584	0	26,05
	7600	42,39	44,23	45,25	41,82			100,1	6,858	1170	2347			1,841	1,841	0	40,87	1,023	8,584	0	26,05
	7650	43,33	45,19	46,24	42,45			100,8	6,932	1187	2385			1,865	1,865	0	41,49	1,023	8,584	0	26,05
	7700	44,27	46,16	47,23	43,08			101,4	7,006	1205	2424			1,889	1,889	0	42,1	1,023	8,584	0	26,05
	7750	45,24	47,16	48,25	43,72			102,1	7,08	1223	2462			1,914	1,914	0	42,73	1,023	8,584	0	26,05
	7800	46,28	48,22	49,33	44,41			102,8	7,151	1242	2503			1,939	1,939	0	43,41	1,023	8,584	0	26,05
	7850	47,32	49,28	50,42	45,11			103,4	7,223	1261	2543			1,964	1,964	0	44,09	1,023	8,584	0	26,05
	7900	48,34	50,33	51,49	45,78			104,1	7,293	1280	2582			1,989	1,989	0	44,74	1,023	8,584	0	26,05
	7950	49,35	51,37	52,56	46,42			104,7	7,361	1298	2619			2,014	2,014	0	45,37	1,023	8,584	0	26,05
	8000	50,37	52,41	53,62	47,07			105,4	7,429	1316	2656			2,04	2,04	0	46,01	1,023	8,584	0	26,05
	8050	51,32	53,38	54,62	47,65			106,1	7,496	1333	2689			2,066	2,066	0	46,57	1,023	8,584	0	26,05
