SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;
1279 ;31:10,60 ;6291 ;3 ;84;24;0,914 ;47,5 ;47,2 ;46,7 ;46,3 ;0 ;4,62 ;12,0 ;-2 ;1,54 ;26,6 ;0 ;1 ;
1279 ;31:10,70 ;6463 ;4 ;84;24;0,878 ;49,4 ;49,2 ;47,6 ;47,7 ;0 ;4,60 ;12,1 ;-3 ;1,54 ;26,4 ;0 ;0 ;
1279 ;31:10,80 ;6590 ;4 ;84;24;0,892 ;51,5 ;51,6 ;49,0 ;48,5 ;0 ;4,58 ;12,1 ;-5 ;1,54 ;26,3 ;0 ;0 ;
1279 ;31:10,90 ;6512 ;4 ;84;24;0,942 ;54,5 ;54,7 ;46,5 ;46,5 ;0 ;4,63 ;12,1 ;-14 ;1,54 ;26,3 ;0 ;0 ;
1279 ;31:11,00 ;6281 ;4 ;84;23;0,961 ;57,2 ;57,0 ;56,0 ;55,8 ;0 ;4,60 ;12,1 ;-2 ;1,51 ;26,4 ;0 ;0 ;
1279 ;31:11,10 ;6578 ;4 ;84;22;0,948 ;59,9 ;59,5 ;58,0 ;58,0 ;0 ;4,64 ;11,8 ;-3 ;1,49 ;26,1 ;0 ;0 ;
1279 ;31:11,20 ;6803 ;4 ;84;21;0,897 ;62,0 ;61,8 ;60,2 ;60,3 ;0 ;4,63 ;11,8 ;-2 ;1,47 ;26,0 ;0 ;0 ;
1279 ;31:11,30 ;6996 ;4 ;84;20;1,021 ;63,9 ;64,2 ;61,5 ;62,0 ;0 ;4,65 ;11,8 ;-4 ;1,45 ;25,9 ;0 ;0 ;
1279 ;31:11,40 ;7335 ;5 ;84;20;1,172 ;66,2 ;66,4 ;65,1 ;64,0 ;0 ;4,61 ;11,9 ;-3 ;1,71 ;26,3 ;0 ;0 ;
1279 ;31:11,50 ;7443 ;5 ;84;20;1,206 ;69,4 ;68,9 ;66,6 ;67,1 ;0 ;4,66 ;12,1 ;-3 ;1,46 ;26,4 ;0 ;1 ;
