SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;
2335 ;8:09,10 ;4058 ;100 ;92;32;96;0,918 ;15,8 ;16,0 ;15,7 ;15,9 ;0 ;4,58 ;12,1 ;-1 ;8,08 ;27,0 ;0 ;0 ;
2335 ;8:09,20 ;4706 ;100 ;92;32;96;1,293 ;17,8 ;18,1 ;19,4 ;18,1 ;0 ;4,57 ;12,1 ;1 ;7,08 ;29,6 ;0 ;0 ;
2335 ;8:09,30 ;2132 ;100 ;92;32;96;1,179 ;17,1 ;17,5 ;16,3 ;16,9 ;0 ;4,61 ;12,1 ;-6 ;3,27 ;21,2 ;0 ;0 ;
2335 ;8:09,40 ;3367 ;100 ;92;32;96;1,006 ;16,9 ;17,1 ;16,6 ;16,9 ;0 ;4,64 ;12,1 ;-2 ;5,80 ;22,5 ;0 ;0 ;
2335 ;8:09,50 ;4740 ;100 ;92;32;96;1,364 ;16,6 ;16,9 ;18,5 ;17,8 ;0 ;4,60 ;12,0 ;5 ;6,22 ;29,7 ;0 ;0 ;
2335 ;8:09,60 ;4666 ;100 ;92;32;96;1,362 ;18,8 ;18,9 ;18,8 ;18,9 ;0 ;4,56 ;12,0 ;0 ;6,21 ;29,4 ;0 ;0 ;
2335 ;8:09,70 ;3068 ;100 ;92;32;96;0,999 ;18,4 ;18,6 ;17,0 ;16,4 ;0 ;4,54 ;11,8 ;-11 ;5,58 ;22,5 ;0 ;0 ;
2335 ;8:09,80 ;3800 ;100 ;92;32;96;1,246 ;18,1 ;18,3 ;18,2 ;18,2 ;0 ;4,68 ;12,2 ;0 ;6,03 ;25,0 ;0 ;0 ;
2335 ;8:09,90 ;4524 ;100 ;92;32;96;1,498 ;18,0 ;18,5 ;19,0 ;19,2 ;0 ;4,58 ;12,1 ;2 ;6,19 ;28,8 ;0 ;0 ;
2335 ;8:10,00 ;4524 ;100 ;93;32;97;1,456 ;19,3 ;19,9 ;19,7 ;19,8 ;0 ;4,56 ;12,1 ;-1 ;6,46 ;29,3 ;0 ;0 ;
2335 ;8:10,10 ;3245 ;100 ;92;32;96;1,217 ;18,5 ;19,0 ;17,4 ;16,0 ;0 ;4,51 ;12,0 ;-14 ;5,72 ;22,5 ;0 ;0 ;
2335 ;8:10,20 ;5037 ;100 ;92;32;96;1,334 ;18,3 ;18,3 ;18,3 ;18,3 ;0 ;4,58 ;12,0 ;0 ;6,24 ;30,8 ;0 ;0 ;
2335 ;8:10,30 ;5138 ;100 ;93;32;96;1,465 ;20,8 ;20,7 ;20,6 ;20,4 ;0 ;4,58 ;12,2 ;-1 ;6,17 ;30,9 ;0 ;0 ;
2335 ;8:10,40 ;3304 ;98 ;93;32;94;1,116 ;20,4 ;20,5 ;19,8 ;19,1 ;0 ;4,53 ;11,9 ;-6 ;5,76 ;21,0 ;0 ;0 ;
2335 ;8:10,50 ;5375 ;100 ;92;32;96;1,115 ;20,2 ;20,2 ;20,1 ;20,2 ;0 ;4,59 ;12,0 ;0 ;6,19 ;31,1 ;0 ;0 ;
2335 ;8:10,60 ;5650 ;43 ;93;32;94;1,332 ;23,1 ;23,0 ;23,0 ;22,8 ;0 ;4,55 ;12,1 ;-1 ;5,50 ;31,3 ;0 ;0 ;
2335 ;8:10,70 ;3504 ;100 ;93;32;96;0,952 ;22,2 ;21,9 ;20,0 ;21,4 ;0 ;4,60 ;11,9 ;-8 ;6,72 ;22,5 ;0 ;0 ;
2335 ;8:10,80 ;5674 ;100 ;92;32;95;1,181 ;22,2 ;21,9 ;22,0 ;21,8 ;0 ;4,55 ;12,0 ;-1 ;5,64 ;31,4 ;0 ;0 ;
2335 ;8:10,90 ;367 ;100 ;93;32;95;1,369 ;24,5 ;24,2 ;24,2 ;24,1 ;0 ;4,56 ;12,1 ;-1 ;3,08 ;15,8 ;0 ;0 ;
2335 ;8:11,00 ;4225 ;100 ;93;32;96;0,972 ;23,9 ;24,1 ;23,4 ;22,3 ;0 ;4,68 ;12,1 ;-6 ;6,14 ;27,6 ;0 ;0 ;
2335 ;8:11,10 ;6535 ;100 ;93;32;94;1,255 ;24,1 ;24,3 ;26,0 ;25,4 ;0 ;4,56 ;12,0 ;4 ;5,32 ;34,4 ;0 ;0 ;
2335 ;8:11,20 ;293 ;100 ;93;32;95;1,197 ;26,1 ;26,4 ;26,1 ;26,4 ;0 ;4,56 ;12,1 ;-1 ;3,08 ;15,8 ;0 ;0 ;
2335 ;8:11,30 ;4801 ;100 ;93;32;96;0,967 ;25,9 ;26,2 ;24,9 ;22,2 ;0 ;4,57 ;12,1 ;-12 ;6,23 ;30,0 ;0 ;0 ;
2335 ;8:11,40 ;6952 ;100 ;93;32;94;1,406 ;26,7 ;26,4 ;29,3 ;29,7 ;0 ;4,66 ;12,2 ;10 ;5,31 ;36,6 ;0 ;0 ;
2335 ;8:11,50 ;4225 ;100 ;93;32;96;1,249 ;27,8 ;27,9 ;28,2 ;27,8 ;0 ;4,59 ;12,0 ;0 ;6,14 ;27,6 ;0 ;0 ;
2335 ;8:11,60 ;1050 ;100 ;93;32;95;0,977 ;27,5 ;27,8 ;27,6 ;24,9 ;0 ;4,59 ;12,2 ;-8 ;3,08 ;30,6 ;0 ;0 ;
2335 ;8:11,70 ;6967 ;100 ;93;32;94;1,362 ;27,4 ;27,3 ;28,1 ;28,0 ;0 ;4,59 ;12,1 ;2 ;5,30 ;36,7 ;0 ;0 ;
2335 ;8:11,80 ;4986 ;100 ;93;32;95;1,232 ;29,3 ;29,4 ;29,4 ;29,8 ;0 ;4,53 ;12,1 ;0 ;6,02 ;30,7 ;0 ;0 ;
