SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;
2329 ;2:27,60 ;8212 ;100 ;77;19;88;0,707 ;40,6 ;40,4 ;46,4 ;45,9 ;35 ;4,57 ;6,39 ;12,8 ;13 ;6,03 ;44,1 ;0 ;0 ;
2329 ;2:27,70 ;7662 ;100 ;77;19;92;0,717 ;38,0 ;38,2 ;39,9 ;40,0 ;0 ;4,54 ;6,15 ;12,9 ;4 ;5,86 ;42,1 ;0 ;0 ;
2329 ;2:27,80 ;6954 ;100 ;77;19;94;0,779 ;36,2 ;36,2 ;37,1 ;36,8 ;0 ;4,57 ;5,80 ;12,9 ;1 ;5,54 ;36,6 ;0 ;0 ;
2329 ;2:27,90 ;6533 ;100 ;77;19;94;0,822 ;34,4 ;34,2 ;35,4 ;35,0 ;0 ;4,56 ;5,59 ;13,0 ;2 ;5,55 ;34,4 ;0 ;0 ;
2329 ;2:28,00 ;6501 ;100 ;77;19;94;0,800 ;32,6 ;31,6 ;36,3 ;36,0 ;20 ;4,55 ;5,53 ;12,8 ;10 ;5,55 ;34,3 ;0 ;0 ;
2329 ;2:28,10 ;6177 ;100 ;77;19;95;0,757 ;30,4 ;29,2 ;32,9 ;30,5 ;0 ;4,55 ;5,12 ;12,9 ;2 ;5,65 ;32,3 ;0 ;0 ;
2329 ;2:28,20 ;5588 ;90 ;77;19;94;0,730 ;28,5 ;27,0 ;31,6 ;30,4 ;5 ;4,52 ;4,87 ;13,0 ;7 ;5,77 ;31,3 ;0 ;0 ;
2329 ;2:28,30 ;5271 ;83 ;77;19;94;0,749 ;26,4 ;24,7 ;26,5 ;28,6 ;0 ;4,53 ;4,34 ;12,9 ;2 ;5,91 ;31,0 ;0 ;0 ;
2329 ;2:28,40 ;4688 ;65 ;77;19;93;0,816 ;26,1 ;23,1 ;25,8 ;24,7 ;0 ;4,54 ;4,04 ;13,0 ;-4 ;5,66 ;28,5 ;0 ;0 ;
2329 ;2:28,50 ;4800 ;62 ;77;18;93;0,975 ;26,0 ;21,6 ;25,5 ;22,5 ;0 ;4,53 ;4,01 ;12,9 ;-10 ;5,71 ;29,3 ;0 ;0 ;
2329 ;2:28,60 ;4576 ;62 ;77;18;93;1,149 ;25,4 ;20,2 ;25,0 ;25,2 ;0 ;4,58 ;3,83 ;13,1 ;-1 ;5,63 ;27,6 ;0 ;0 ;
2329 ;2:28,70 ;4466 ;62 ;77;18;93;1,324 ;23,9 ;18,7 ;23,5 ;22,0 ;0 ;4,49 ;3,64 ;12,8 ;-6 ;5,58 ;26,9 ;0 ;0 ;
2329 ;2:28,80 ;4180 ;61 ;77;18;93;1,434 ;22,7 ;17,6 ;22,0 ;23,8 ;0 ;4,58 ;3,45 ;13,1 ;-1 ;5,48 ;24,8 ;0 ;0 ;
2329 ;2:28,90 ;3979 ;61 ;77;18;93;1,444 ;21,8 ;16,7 ;20,6 ;23,8 ;0 ;4,44 ;3,25 ;12,9 ;-1 ;5,38 ;23,3 ;0 ;0 ;
2329 ;2:29,00 ;3765 ;61 ;77;18;93;1,362 ;21,5 ;16,4 ;20,1 ;18,5 ;0 ;4,45 ;3,16 ;12,9 ;-12 ;5,16 ;21,9 ;0 ;0 ;
2329 ;2:29,10 ;3697 ;61 ;77;18;93;1,479 ;21,2 ;16,1 ;20,0 ;17,8 ;0 ;4,47 ;3,09 ;13,1 ;-13 ;5,09 ;21,5 ;0 ;0 ;
2329 ;2:29,20 ;3711 ;61 ;77;18;93;1,498 ;20,7 ;15,8 ;19,6 ;21,1 ;0 ;4,65 ;2,95 ;13,0 ;-3 ;5,10 ;21,6 ;0 ;0 ;
2329 ;2:29,30 ;3103 ;61 ;77;18;95;1,498 ;20,6 ;15,5 ;19,5 ;14,5 ;0 ;4,53 ;2,74 ;12,8 ;-23 ;5,41 ;21,7 ;0 ;0 ;
2329 ;2:29,40 ;3463 ;61 ;77;18;93;1,487 ;20,2 ;15,2 ;18,9 ;20,3 ;0 ;4,62 ;2,90 ;13,1 ;-4 ;4,85 ;20,2 ;0 ;0 ;
2329 ;2:29,50 ;3166 ;61 ;77;18;94;1,059 ;20,2 ;15,2 ;18,8 ;13,6 ;0 ;4,47 ;2,73 ;13,0 ;-26 ;5,04 ;21,0 ;0 ;0 ;
2329 ;2:29,60 ;3139 ;61 ;77;18;94;0,902 ;20,8 ;15,6 ;19,2 ;13,7 ;0 ;4,61 ;2,77 ;13,2 ;-27 ;5,02 ;21,0 ;0 ;0 ;
2329 ;2:29,70 ;3563 ;59 ;77;18;91;0,918 ;21,2 ;15,9 ;19,7 ;14,3 ;0 ;4,65 ;2,96 ;13,1 ;-26 ;4,12 ;19,0 ;0 ;0 ;
2329 ;2:29,80 ;3057 ;31 ;77;18;76;0,900 ;22,0 ;16,7 ;20,0 ;14,3 ;0 ;4,53 ;2,55 ;13,0 ;-28 ;2,68 ;18,0 ;0 ;0 ;
2329 ;2:29,90 ;2998 ;7 ;77;18;62;0,897 ;22,7 ;17,3 ;21,5 ;15,6 ;0 ;4,52 ;2,75 ;13,1 ;-25 ;2,58 ;0,0 ;0 ;0 ;
2329 ;2:30,00 ;3449 ;6 ;77;18;57;0,908 ;22,9 ;17,6 ;21,6 ;16,0 ;0 ;4,61 ;3,01 ;13,1 ;-24 ;2,38 ;0,0 ;0 ;0 ;
2329 ;2:30,10 ;3682 ;6 ;77;17;56;0,924 ;23,2 ;17,8 ;21,8 ;16,4 ;0 ;4,63 ;3,13 ;13,0 ;-23 ;2,39 ;15,7 ;0 ;0 ;
2329 ;2:30,20 ;3762 ;6 ;77;18;55;0,922 ;23,6 ;18,1 ;22,2 ;16,6 ;0 ;4,55 ;3,17 ;13,0 ;-23 ;2,34 ;16,0 ;0 ;0 ;
2329 ;2:30,30 ;3846 ;6 ;77;18;55;0,934 ;23,9 ;18,6 ;22,5 ;17,0 ;0 ;4,53 ;3,23 ;13,1 ;-23 ;2,36 ;16,3 ;0 ;0 ;
2329 ;2:30,40 ;3797 ;6 ;77;17;55;0,922 ;24,1 ;18,9 ;22,9 ;17,4 ;0 ;4,65 ;3,22 ;13,0 ;-22 ;2,36 ;16,1 ;0 ;0 ;
2329 ;2:30,50 ;3940 ;6 ;77;17;55;0,900 ;24,3 ;19,3 ;23,1 ;18,1 ;0 ;4,66 ;3,30 ;12,9 ;-20 ;2,40 ;16,7 ;0 ;0 ;
2329 ;2:30,60 ;3997 ;6 ;77;17;54;0,886 ;24,3 ;19,9 ;23,4 ;18,8 ;0 ;4,61 ;3,38 ;13,0 ;-18 ;2,36 ;16,9 ;0 ;0 ;
