																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	9400	60,32	63,16	64,38	48,1			123,8	11,2	1350	2716			2,849	2,849	0	47,2	1,019	8,584	0	34,43
	9450	60,5	63,38	64,6	48,01			124,5	11,26	1348	2708			2,882	2,882	0	47,11	1,019	8,584	0	34,43
	9500	60,68	63,6	64,82	47,93			125,2	11,33	1345	2701			2,914	2,914	0	47,02	1,019	8,584	0	34,43
	9550	60,88	63,83	65,05	47,84			125,8	11,4	1343	2694			2,947	2,947	0	46,94	1,019	8,584	0	34,43
	9600	61,27	64,25	65,49	47,91			126,5	11,47	1345	2699			2,98	2,98	0	47,01	1,019	8,584	0	34,43
	9650	61,67	64,68	65,93	47,98			127,1	11,54	1347	2704			3,014	3,014	0	47,08	1,019	8,584	0	34,43
	9700	62,06	65,1	66,36	48,05			127,8	11,6	1349	2708			3,047	3,047	0	47,14	1,019	8,584	0	34,43
	9750	62,38	65,46	66,72	48,06			128,5	11,67	1349	2709			3,081	3,081	0	47,16	1,019	8,584	0	34,43
	9800	62,71	65,82	67,09	48,08			129,1	11,74	1350	2711			3,115	3,115	0	47,17	1,019	8,584	0	34,43
	9850	63,02	66,17	67,44	48,09			129,8	11,8	1350	2711			3,15	3,15	0	47,18	1,019	8,584	0	34,43
	9900	63,14	66,32	67,6	47,96			130,4	11,87	1346	2702			3,185	3,185	0	47,05	1,019	8,584	0	34,43
	9950	63,26	66,48	67,76	47,83			131,1	11,94	1343	2692			3,219	3,219	0	46,93	1,019	8,584	0	34,43
	10000	63,36	66,62	67,9	47,69			131,8	12,01	1339	2682			3,254	3,254	0	46,79	1,019	8,584	0	34,43
	10050	63,38	66,67	67,95	47,49			132,4	12,08	1333	2667			3,29	3,29	0	46,59	1,019	8,584	0	34,43
	10100	63,39	66,72	68	47,29			133,1	12,15	1328	2653			3,326	3,326	0	46,4	1,019	8,584	0	34,43
	10150	63,38	66,75	68,03	47,08			133,7	12,22	1322	2637			3,362	3,362	0	46,19	1,019	8,584	0	34,43
	10200	63,31	66,71	68	46,82			134,4	12,29	1314	2620			3,398	3,398	0	45,94	1,019	8,584	0	34,43
	10250	63,24	66,68	67,96	46,57			135	12,36	1307	2603			3,435	3,435	0	45,69	1,019	8,584	0	34,43
	10300	63,1	66,57	67,86	46,27			135,7	12,43	1299	2584			3,471	3,471	0	45,4	1,019	8,584	0	34,43
	10350	62,86	66,37	67,65	45,91			136,4	12,5	1289	2561			3,508	3,508	0	45,04	1,019	8,584	0	34,43
	10400	62,62	66,16	67,44	45,54			137	12,58	1279	2538			3,546	3,546	0	44,68	1,019	8,584	0	34,43
	10450	62,31	65,89	67,16	45,14			137,7	12,65	1267	2513			3,583	3,583	0	44,29	1,019	8,584	0	34,43
	10500	61,95	65,57	66,83	44,71			138,3	12,72	1255	2486			3,621	3,621	0	43,87	1,019	8,584	0	34,43
	10550	61,6	65,26	66,51	44,28			139	12,8	1243	2460			3,659	3,659	0	43,44	1,019	8,584	0	34,43
	10600	61,29	64,99	66,24	43,89			139,7	12,87	1232	2435			3,698	3,698	0	43,06	1,019	8,584	0	34,43
	10650	60,98	64,71	65,96	43,5			140,3	12,95	1221	2409			3,736	3,736	0	42,68	1,019	8,584	0	34,43
	10700	60,73	64,51	65,75	43,16			141	13,03	1212	2388			3,775	3,775	0	42,34	1,019	8,584	0	34,43
	10750	60,61	64,42	65,66	42,9			141,6	13,11	1204	2373			3,815	3,815	0	42,09	1,019	8,584	0	34,43
	10800	60,48	64,33	65,57	42,64			142,3	13,19	1197	2357			3,854	3,854	0	41,84	1,019	8,584	0	34,43
	10850	60,33	64,23	65,47	42,38			143	13,26	1190	2341			3,894	3,894	0	41,58	1,019	8,584	0	34,43
	10900	60,19	64,12	65,35	42,11			143,6	13,34	1182	2325			3,934	3,934	0	41,32	1,019	8,584	0	34,43
	10950	60	63,98	65,21	41,83			144,3	13,42	1174	2306			3,974	3,974	0	41,04	1,019	8,584	0	34,43
	11000	59,71	63,73	64,95	41,47			144,9	13,5	1164	2279			4,015	4,015	0	40,69	1,019	8,584	0	34,43
	11050	59,42	63,47	64,69	41,12			145,6	13,58	1154	2253			4,056	4,056	0	40,34	1,019	8,584	0	34,43
	11100	59,28	63,38	64,6	40,88			146,2	13,67	1148	2236			4,097	4,097	0	40,1	1,019	8,584	0	34,43
	11150	59,19	63,33	64,55	40,66			146,9	13,75	1141	2221			4,139	4,139	0	39,89	1,019	8,584	0	34,43
	11200	59,1	63,28	64,5	40,45			147,6	13,83	1135	2207			4,18	4,18	0	39,68	1,019	8,584	0	34,43
	11250	59	63,23	64,44	40,23			148,2	13,92	1130	2195			4,222	4,222	0	39,47	1,019	8,584	0	34,43
	11300	58,91	63,18	64,39	40,02			148,9	14	1124	2184			4,265	4,265	0	39,27	1,019	8,584	0	34,43
