																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	6750	34,04	35,51	36,33	37,81	45,21	47,05	88,93	6,11	1057	2121		45,98	1,463	1,463	0	36,95	1,023	8,584	0	34,43
	6800	33,81	35,29	36,11	37,3	45,06	46,54	89,59	6,199	1043	2092		45,48	1,484	1,484	0	36,45	1,023	8,584	0	34,43
	6850	33,73	35,23	36,05	36,97	45,06	46,2	90,25	6,287	1034	2075		45,16	1,504	1,504	0	36,13	1,023	8,584	0	34,43
	6900	33,7	35,23	36,04	36,69	45,12	45,93	90,91	6,375	1026	2060		44,89	1,525	1,525	0	35,86	1,023	8,584	0	34,43
	6950	33,78	35,33	36,15	36,53	45,29	45,77	91,57	6,464	1022	2050		44,73	1,547	1,547	0	35,7	1,023	8,584	0	34,43
	7000	33,97	35,54	36,37	36,49	45,57	45,73	92,23	6,554	1020	2043		44,69	1,568	1,568	0	35,66	1,023	8,584	0	34,43
	7050	34,26	35,85	36,68	36,54	45,95	45,78	92,89	6,644	1022	2043		44,74	1,59	1,59	0	35,71	1,023	8,584	0	34,43
	7100	34,78	36,39	37,23	36,83	46,57	46,07	93,54	6,734	1030	2058		45,02	1,612	1,612	0	35,99	1,023	8,584	0	34,43
	7150	35,3	36,93	37,79	37,12	47,2	46,36	94,2	6,823	1038	2074		45,31	1,634	1,634	0	36,28	1,023	8,584	0	34,43
	7200	35,97	37,63	38,5	37,55	47,97	46,79	94,86	6,907	1050	2102		45,73	1,656	1,656	0	36,7	1,023	8,584	0	34,43
	7250	36,64	38,32	39,21	37,98	48,75	47,22	95,52	6,99	1062	2130		46,15	1,678	1,678	0	37,12	1,023	8,584	0	34,43
	7300	37,36	39,06	39,96	38,45	49,57	47,68	96,18	7,074	1075	2159		46,6	1,701	1,701	0	37,57	1,023	8,584	0	34,43
	7350	38,09	39,82	40,74	38,92	50,41	48,16	96,84	7,157	1089	2187		47,07	1,724	1,724	0	38,04	1,023	8,584	0	34,43
	7400	38,84	40,59	41,53	39,42	51,27	48,65	97,5	7,24	1102	2216		47,55	1,747	1,747	0	38,52	1,023	8,584	0	34,43
	7450	39,64	41,41	42,37	39,94	52,17	49,18	98,16	7,32	1117	2245		48,07	1,77	1,77	0	39,04	1,023	8,584	0	34,43
	7500	40,44	42,24	43,22	40,47	53,08	49,71	98,81	7,399	1132	2274		48,58	1,793	1,793	0	39,55	1,023	8,584	0	34,43
	7550	41,28	43,1	44,1	41,02	54,03	50,26	99,47	7,478	1147	2303		49,12	1,817	1,817	0	40,09	1,023	8,584	0	34,43
	7600	42,14	43,98	45	41,58	55	50,82	100,1	7,556	1163	2333		49,67	1,841	1,841	0	40,64	1,023	8,584	0	34,43
	7650	43,01	44,87	45,91	42,15	55,98	51,39	100,8	7,633	1179	2364		50,23	1,865	1,865	0	41,2	1,023	8,584	0	34,43
	7700	43,96	45,85	46,91	42,78	57,04	52,02	101,4	7,708	1196	2401		50,84	1,89	1,89	0	41,81	1,023	8,584	0	34,43
	7750	44,91	46,82	47,9	43,41	58,1	52,65	102,1	7,783	1214	2438		51,46	1,914	1,914	0	42,43	1,023	8,584	0	34,43
	7800	45,87	47,81	48,92	44,05	59,18	53,29	102,8	7,855	1232	2477		52,08	1,939	1,939	0	43,05	1,023	8,584	0	34,43
	7850	46,86	48,83	49,96	44,69	60,28	53,93	103,4	7,926	1250	2516		52,71	1,964	1,964	0	43,68	1,023	8,584	0	34,43
	7900	47,85	49,84	51	45,33	61,39	54,57	104,1	7,997	1268	2555		53,34	1,989	1,989	0	44,31	1,023	8,584	0	34,43
	7950	48,83	50,85	52,02	45,95	62,48	55,19	104,7	8,066	1285	2592		53,94	2,014	2,014	0	44,91	1,023	8,584	0	34,43
	8000	49,8	51,84	53,05	46,56	63,57	55,8	105,4	8,135	1302	2629		54,54	2,04	2,04	0	45,51	1,023	8,584	0	34,43
	8050	50,78	52,84	54,07	47,17	64,66	56,41	106,1	8,203	1319	2665		55,13	2,066	2,066	0	46,1	1,023	8,584	0	34,43
	8100	51,69	53,79	55,03	47,71	65,69	56,95	106,7	8,27	1334	2697		55,66	2,092	2,092	0	46,63	1,023	8,584	0	34,43
	8150	52,59	54,71	55,98	48,23	66,7	57,47	107,4	8,336	1349	2729		56,17	2,118	2,118	0	47,14	1,023	8,584	0	34,43
	8200	53,49	55,63	56,92	48,75	67,71	57,99	108	8,402	1363	2760		56,68	2,144	2,144	0	47,65	1,023	8,584	0	34,43
	8250	54,21	56,38	57,69	49,11	68,54	58,35	108,7	8,466	1373	2781		57,03	2,171	2,171	0	48	1,023	8,584	0	34,43
	8300	54,86	57,06	58,38	49,4	69,3	58,64	109,4	8,530	1382	2797		57,31	2,198	2,198	0	48,28	1,023	8,584	0	34,43
	8350	55,52	57,74	59,08	49,69	70,07	58,93	110	8,595	1390	2813		57,6	2,225	2,225	0	48,57	1,023	8,584	0	34,43
	8400	55,99	58,24	59,59	49,83	70,64	59,07	110,7	8,66	1393	2819		57,73	2,252	2,252	0	48,7	1,023	8,584	0	34,43
	8450	56,35	58,63	59,99	49,86	71,1	59,1	111,3	8,725	1394	2818		57,76	2,280	2,280	0	48,73	1,023	8,584	0	34,43
	8500	56,7	59,01	60,38	49,89	71,56	59,13	112	8,791	1395	2816		57,79	2,308	2,308	0	48,76	1,023	8,584	0	34,43
	8550	56,99	59,33	60,7	49,87	71,95	59,1	112,6	8,856	1395	2814		57,77	2,336	2,336	0	48,74	1,023	8,584	0	34,43
