SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;
2230 ;2:24,00 ;3883 ;0 ;90;43;55;0,919 ;18,6 ;21,9 ;19,1 ;16,7 ;0 ;4,66 ;12,1 ;-21 ;2,24 ;16,5 ;0 ;
2230 ;2:24,10 ;3858 ;0 ;90;43;55;0,941 ;19,4 ;22,2 ;19,5 ;22,2 ;0 ;4,63 ;12,1 ;-9 ;2,24 ;16,4 ;0 ;
2230 ;2:24,20 ;3964 ;0 ;90;43;54;0,940 ;19,4 ;22,3 ;20,0 ;22,2 ;0 ;4,66 ;12,1 ;-8 ;2,23 ;16,8 ;0 ;
2230 ;2:24,30 ;4016 ;0 ;90;43;54;0,946 ;19,9 ;22,1 ;20,4 ;2,1 ;0 ;4,70 ;11,9 ;-70 ;2,24 ;17,2 ;0 ;
2230 ;2:24,40 ;4037 ;0 ;90;43;54;0,955 ;20,2 ;22,0 ;20,7 ;9,3 ;0 ;4,65 ;12,1 ;-45 ;2,24 ;17,4 ;0 ;
2230 ;2:24,50 ;4106 ;0 ;90;43;54;0,957 ;20,5 ;21,9 ;21,2 ;21,8 ;0 ;4,63 ;11,8 ;-2 ;2,24 ;18,3 ;0 ;
2230 ;2:24,60 ;4093 ;0 ;90;43;54;0,965 ;20,8 ;22,1 ;21,5 ;4,4 ;0 ;4,66 ;12,1 ;-61 ;2,24 ;18,2 ;0 ;
2230 ;2:24,70 ;4129 ;0 ;90;43;54;0,950 ;21,1 ;22,4 ;21,5 ;1,9 ;0 ;4,73 ;12,1 ;-69 ;2,24 ;18,6 ;0 ;
2230 ;2:24,80 ;4183 ;0 ;90;43;54;0,919 ;21,3 ;22,6 ;21,8 ;3,3 ;0 ;4,70 ;12,0 ;-65 ;2,24 ;19,3 ;0 ;
2230 ;2:24,90 ;4252 ;0 ;90;43;54;0,900 ;21,7 ;22,6 ;22,2 ;23,0 ;0 ;4,70 ;12,1 ;0 ;2,25 ;20,0 ;0 ;
2230 ;2:25,00 ;4289 ;0 ;90;43;53;0,893 ;22,0 ;22,9 ;22,7 ;25,7 ;0 ;4,67 ;12,0 ;2 ;2,22 ;20,5 ;0 ;
2230 ;2:25,10 ;4323 ;0 ;90;43;53;0,891 ;22,5 ;22,9 ;23,1 ;23,0 ;0 ;4,67 ;12,1 ;0 ;2,23 ;21,0 ;0 ;
2230 ;2:25,20 ;4359 ;0 ;90;43;53;0,895 ;22,9 ;23,2 ;23,6 ;23,4 ;0 ;4,69 ;11,9 ;0 ;2,23 ;21,4 ;0 ;
2230 ;2:25,30 ;4460 ;0 ;90;43;53;0,900 ;23,0 ;23,4 ;23,9 ;42,9 ;0 ;4,65 ;12,0 ;22 ;2,24 ;22,7 ;0 ;
2230 ;2:25,40 ;4500 ;0 ;90;43;53;0,899 ;23,6 ;23,7 ;24,3 ;24,0 ;0 ;4,69 ;12,0 ;1 ;2,24 ;23,2 ;0 ;
2230 ;2:25,50 ;4600 ;0 ;90;43;53;0,901 ;23,9 ;24,2 ;24,3 ;2,3 ;0 ;4,73 ;11,9 ;-67 ;2,25 ;24,5 ;0 ;
2230 ;2:25,60 ;4658 ;0 ;90;44;54;0,891 ;24,4 ;24,4 ;24,9 ;68,6 ;0 ;4,70 ;12,1 ;46 ;2,28 ;25,6 ;0 ;
2230 ;2:25,70 ;4702 ;0 ;90;43;53;0,889 ;24,8 ;24,9 ;25,4 ;68,6 ;0 ;4,73 ;12,0 ;45 ;2,26 ;25,7 ;0 ;
2230 ;2:25,80 ;4808 ;0 ;90;44;53;0,897 ;25,2 ;25,1 ;25,7 ;25,0 ;0 ;4,70 ;12,0 ;0 ;2,26 ;27,1 ;0 ;
