99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"EngineTemp"|"F"|0|300|1,"OilTemp"|"F"|0|300|1,"OilPress"|"PSI"|0|150|25,"Battery"|"Volts"|0.0|20.0|1,"Battery"|"Volts"|0.0|20.0|1,"AccelX"|"G"|-3.0|3.0|25,"AccelY"|"G"|-3.0|3.0|25,"AccelZ"|"G"|-3.0|3.0|25,"Yaw"|"Deg/Sec"|-120|120|25,"Pitch"|"Deg/Sec"|-120|120|25,"Roll"|"Deg/Sec"|-120|120|25,"RPM"|""|0|10000|25,"RPM"|""|0|14000|1,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"GPSSats"|""|0|20|10,"GPSQual"|""|0|5|10,"GPSDOP"|""|0.0|20.0|10,"Distance"|"mi"|0.0|0.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"PredTime"|"Min"|0.0|0.0|5,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
419882,0,277,296,0,0.0,5.15,0.02,0.02,0.99,0,0,-0,0,-8146,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
419922,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
419962,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
420002,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
420042,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
420082,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
420122,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
420162,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
420202,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
420242,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
420282,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
420322,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
420362,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
420402,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
420442,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
420482,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
420522,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
420562,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
420602,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
420642,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
420682,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
420722,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
420762,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
420802,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
420842,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
420882,0,277,296,0,0.0,5.13,0.02,0.02,0.99,0,0,-0,0,-8146,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
420922,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
420962,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
421002,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
421042,0,,,0,,,0.02,0.02,0.99,0,-0,-0,0,,,,,,,,,,,,,,,,
421082,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0,0.0,-1,0.0,0.0,0.0,0
421122,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
421162,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
421202,0,,,0,,,0.02,0.02,0.99,0,0,-0,0,,,,,,,,,,,,,,,,
