"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"Distance"|"mi"|0.0|0.0|10
53144,1558278132809,0.8,0.01,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
53164,1558278132829,0.8,0.01,0.6,0,-1,-0,0,0,70,28,97,507,0.0,115,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53184,1558278132849,0.8,0.01,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53204,1558278132869,0.8,0.01,0.6,0,-1,-0,0,0,70,28,97,507,0.0,115,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53224,1558278132889,0.8,0.01,0.6,0,-1,-0,0,0,70,28,97,507,0.0,115,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53244,1558278132909,0.8,0.01,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
53264,1558278132929,0.8,0.01,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53284,1558278132949,0.8,0.02,0.6,0,-1,0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53304,1558278132969,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53324,1558278132989,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53344,1558278133003,0.8,0.01,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
53364,1558278133023,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53384,1558278133043,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53404,1558278133063,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53424,1558278133083,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53444,1558278133108,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,45.699841,4.910074,0.0,679.2,0.0
53464,1558278133128,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,457,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53484,1558278133148,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53504,1558278133168,0.8,0.01,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,458,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
53524,1558278133188,0.8,0.02,0.6,0,-1,-0,0,0,70,28,97,507,0.0,116,457,60,117.0,0,1,0,0,0,0,0,0,250,250,0,,,,,
