SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TAR LB;TRAC %;OIL P;VOLTS;SLIP%;LAUC S;SHIF A;L/100K;
772 ;17:16,30 ;8256 ;33 ;96;49;1,161 ;0,0 ;75,9 ;66,2 ;32,5 ;1,000 ;0 ;5,57 ;11,9 ;-46 ;0 ;1 ;0,0;
772 ;17:16,40 ;8296 ;34 ;96;44;0,987 ;0,0 ;79,1 ;78,5 ;32,5 ;1,000 ;0 ;5,69 ;11,9 ;-44 ;0 ;1 ;0,0;
772 ;17:16,50 ;9305 ;34 ;96;41;0,917 ;0,0 ;80,9 ;81,2 ;1,9 ;1,000 ;0 ;6,01 ;11,7 ;-73 ;0 ;0 ;0,0;
772 ;17:16,60 ;9512 ;34 ;96;41;0,858 ;0,0 ;83,3 ;83,2 ;74,8 ;1,000 ;0 ;6,26 ;11,7 ;-7 ;0 ;0 ;0,0;
772 ;17:16,70 ;9640 ;35 ;96;42;0,806 ;0,0 ;84,9 ;85,5 ;2,5 ;1,000 ;0 ;6,14 ;11,7 ;-72 ;0 ;0 ;0,0;
772 ;17:16,80 ;9816 ;35 ;96;43;0,775 ;0,0 ;85,1 ;86,9 ;1,6 ;1,000 ;0 ;6,27 ;11,7 ;-73 ;0 ;0 ;0,0;
772 ;17:16,90 ;9910 ;36 ;96;44;0,744 ;0,0 ;86,4 ;87,7 ;142,3 ;1,000 ;0 ;6,28 ;11,8 ;17 ;0 ;0 ;0,0;
772 ;17:17,00 ;10010 ;39 ;96;47;0,764 ;0,0 ;87,4 ;88,7 ;18,9 ;1,000 ;0 ;6,30 ;11,8 ;-58 ;0 ;0 ;0,0;
772 ;17:17,10 ;10336 ;40 ;96;49;0,737 ;0,0 ;89,2 ;88,6 ;18,9 ;1,000 ;0 ;6,32 ;11,8 ;-59 ;0 ;0 ;0,0;
772 ;17:17,20 ;9952 ;41 ;96;52;0,739 ;0,0 ;90,1 ;88,8 ;12,9 ;1,000 ;0 ;6,26 ;11,8 ;-64 ;0 ;0 ;0,0;
772 ;17:17,30 ;10324 ;44 ;96;54;0,862 ;0,0 ;90,8 ;91,6 ;81,5 ;1,000 ;0 ;6,25 ;11,8 ;-7 ;0 ;0 ;0,0;
772 ;17:17,40 ;10364 ;48 ;96;61;0,929 ;0,0 ;90,1 ;93,8 ;11,5 ;1,000 ;0 ;6,35 ;11,8 ;-64 ;0 ;0 ;0,0;
772 ;17:17,50 ;10428 ;78 ;96;82;0,961 ;0,0 ;89,2 ;91,6 ;823,8 ;1,000 ;0 ;6,29 ;11,8 ;207 ;0 ;0 ;0,0;
772 ;17:17,60 ;10195 ;100 ;96;85;0,981 ;0,0 ;87,2 ;91,4 ;19,4 ;1,000 ;0 ;6,25 ;11,8 ;-57 ;0 ;0 ;0,0;
