SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TAR LB;TRAC %;FUEL P;OIL P;VOLTS;SLIP%;LAUC S;SHIF A;
784 ;4:35,30 ;10875 ;23 ;98;33;0,500 ;59,3 ;0,0 ;58,2 ;23,0 ;1,000 ;0 ;4,62 ;6,53 ;11,7 ;-46 ;0 ;0 ;
784 ;4:35,40 ;11042 ;23 ;98;33;0,500 ;60,1 ;0,0 ;59,0 ;47,6 ;1,000 ;0 ;4,54 ;6,52 ;11,6 ;-16 ;0 ;0 ;
784 ;4:35,50 ;11281 ;23 ;98;33;0,500 ;61,9 ;0,0 ;59,8 ;97,9 ;1,000 ;0 ;4,61 ;6,62 ;11,7 ;11 ;0 ;0 ;
784 ;4:35,60 ;11384 ;23 ;98;34;0,500 ;64,4 ;0,0 ;60,9 ;99,6 ;1,000 ;0 ;4,58 ;6,57 ;11,7 ;9 ;0 ;0 ;
784 ;4:35,70 ;11377 ;23 ;98;34;0,500 ;66,8 ;0,0 ;63,1 ;24,7 ;1,000 ;0 ;4,61 ;6,53 ;11,7 ;-48 ;0 ;0 ;
784 ;4:35,80 ;11274 ;23 ;98;34;0,500 ;69,6 ;0,0 ;61,7 ;99,3 ;1,000 ;0 ;4,60 ;6,56 ;11,7 ;2 ;0 ;0 ;
784 ;4:35,90 ;11147 ;24 ;98;34;0,500 ;72,6 ;0,0 ;63,7 ;5,4 ;1,000 ;0 ;4,60 ;6,48 ;11,8 ;-72 ;0 ;0 ;
784 ;4:36,00 ;10794 ;24 ;98;34;0,500 ;75,8 ;0,0 ;67,8 ;5,9 ;1,000 ;0 ;4,65 ;6,50 ;11,6 ;-71 ;0 ;0 ;
784 ;4:36,10 ;10262 ;24 ;98;35;0,500 ;78,5 ;0,0 ;75,6 ;3,7 ;1,000 ;0 ;4,64 ;6,52 ;11,6 ;-72 ;0 ;0 ;
784 ;4:36,20 ;10695 ;24 ;98;36;0,500 ;80,3 ;0,0 ;79,5 ;91,3 ;1,000 ;0 ;4,57 ;6,49 ;11,6 ;2 ;0 ;0 ;
784 ;4:36,30 ;11107 ;25 ;98;36;0,500 ;81,9 ;0,0 ;80,4 ;943,5 ;1,000 ;0 ;4,60 ;6,53 ;11,7 ;261 ;0 ;0 ;
784 ;4:36,40 ;11042 ;27 ;98;38;0,500 ;83,7 ;0,0 ;82,2 ;376,5 ;1,000 ;0 ;4,58 ;6,63 ;11,8 ;86 ;0 ;0 ;
784 ;4:36,50 ;11167 ;29 ;98;41;0,500 ;85,1 ;0,0 ;83,7 ;43,9 ;1,000 ;0 ;4,60 ;6,42 ;11,6 ;-36 ;0 ;0 ;
784 ;4:36,60 ;10769 ;30 ;98;44;0,500 ;86,8 ;0,0 ;84,7 ;42,8 ;1,000 ;0 ;4,56 ;6,43 ;11,7 ;-38 ;0 ;0 ;
784 ;4:36,70 ;11467 ;34 ;98;52;0,500 ;86,9 ;0,0 ;88,6 ;39,3 ;1,000 ;0 ;4,57 ;6,50 ;11,6 ;-40 ;0 ;0 ;
784 ;4:36,80 ;11950 ;69 ;98;69;0,500 ;86,2 ;0,0 ;88,0 ;10,2 ;1,000 ;0 ;4,57 ;6,51 ;11,6 ;-65 ;0 ;0 ;
784 ;4:36,90 ;11617 ;69 ;98;69;0,500 ;84,6 ;0,0 ;85,1 ;190,9 ;1,000 ;16 ;4,50 ;6,67 ;11,5 ;31 ;0 ;0 ;
