"Interval"|"ms"|0|0|1,"Utc"|"ms"|0|0|1,"AccelAvantX"|"G"|0.0|10.0|50,"AccelAvantZ"|"G"|0.0|10.0|50,"AccelAvantY"|"G"|0.0|10.0|50,"AccelX"|"G"|-3.0|3.0|50,"AccelY"|"G"|-3.0|3.0|50,"AccelZ"|"G"|-3.0|3.0|50,"Yaw"|"Deg/Sec"|-120|120|50,"Pitch"|"Deg/Sec"|-120|120|50,"Roll"|"Deg/Sec"|-120|120|50,"RPM"|""|0|14000|50,"TPS"|"%"|0|100|50,"WaterTemp"|"?C"|0|300|50,"AirTemp"|"?C"|-1000|1000|50,"MAP"|"KPa"|0|255|50,"Lambda"|""|0|1024|50,"WheelSpeed"|"MPH"|0.0|150.0|50,"OilPress"|"PSI"|0|150|50,"FuelPress"|"PSI"|0|150|50,"OilTemp"|"F"|0|300|50,"Battery"|"Volts"|0.0|20.0|50,"FuelCon"|"L/h"|-1000|1000|50,"Gear"|""|0|10|50,"Advance"|"Deg"|-360|360|50,"Injection"|"ms"|-1000|1000|50,"FuelCon"|"L/100km"|-1000|1000|50,"LC_But_Pres"|""|-1000|1000|50,"LC_Active"|""|-1000|1000|50,"RD_Speed"|""|-1000|1000|50,"RUD_Speed"|""|-1000|1000|50,"LD_Speed"|""|-1000|1000|50,"LUD_Speed"|""|-1000|1000|50,"Latitude"|"Degrees"|-180.0|180.0|10,"Longitude"|"Degrees"|-180.0|180.0|10,"Speed"|"MPH"|0.0|150.0|10,"Altitude"|"ft"|0.0|4000.0|10,"Distance"|"mi"|0.0|0.0|10,"LapCount"|""|0|0|10,"LapTime"|"Min"|0.0|0.0|10,"Sector"|""|0|0|10,"SectorTime"|"Min"|0.0|0.0|10,"ElapsedTime"|"Min"|0.0|0.0|10,"CurrentLap"|""|0|0|10
86443,1556369366697,0.44,0.414,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1253,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
86463,1556369366717,0.435,0.41,0.4047,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1253,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86483,1556369366737,0.432,0.414,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1253,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86503,1556369366757,0.437,0.415,0.4047,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1254,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86523,1556369366777,0.439,0.412,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1254,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86543,1556369366796,0.435,0.415,0.4035,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1254,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,45.700008,4.910002,0.0,650.5,0.036,0,0.0,-1,0.0,0.0,0
86563,1556369366816,0.434,0.406,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1254,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86583,1556369366836,0.434,0.407,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1255,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86603,1556369366856,0.439,0.414,0.3997,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1255,0.0,300,97,60,121.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
86623,1556369366876,0.437,0.41,0.4047,0.01,0.02,0.98,0,-0,-0,0,19,73,22,99,1256,0.0,300,97,60,122.0,0,1,0,0,0,0,0,0,250,250,0,,,,,,,,,,,
