																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	4400	10,1	10,79	11,04	17,62	16,87	26,93	57,97	5,763	492,7	944,7		26,35	0,6906	0,6906	0	17,22	1,023	8,584	0	26,05
	4450	10,77	11,48	11,74	18,53	17,64	27,84	58,63	5,936	518,3	998,4		27,24	0,7034	0,7034	0	18,11	1,023	8,584	0	26,05
	4500	11,31	12,02	12,3	19,2	18,27	28,51	59,29	6,116	536,9	1032		27,89	0,7163	0,7163	0	18,76	1,023	8,584	0	26,05
	4550	11,83	12,56	12,85	19,83	18,88	29,14	59,95	6,293	554,6	1068		28,51	0,7293	0,7293	0	19,38	1,023	8,584	0	26,05
	4600	12,34	13,08	13,38	20,44	19,48	29,74	60,61	6,451	571,5	1109		29,1	0,7425	0,7425	0	19,97	1,023	8,584	0	26,05
	4650	12,37	13,12	13,43	20,28	19,59	29,59	61,26	6,613	567,2	1100		28,95	0,7559	0,7559	0	19,82	1,023	8,584	0	26,05
	4700	12,47	13,24	13,55	20,25	19,78	29,56	61,92	6,792	566,2	1097		28,92	0,7694	0,7694	0	19,79	1,023	8,584	0	26,05
	4750	13,03	13,81	14,13	20,89	20,43	30,2	62,58	6,954	584,3	1136		29,55	0,7831	0,7831	0	20,42	1,023	8,584	0	26,05
	4800	13,86	14,66	15	21,94	21,36	31,25	63,24	7,102	613,7	1197		30,58	0,7969	0,7969	0	21,45	1,023	8,584	0	26,05
	4850	14,83	15,64	16	23,17	22,43	32,48	63,9	7,245	648	1265		31,77	0,8108	0,8108	0	22,64	1,023	8,584	0	26,05
	4900	15,78	16,61	16,99	24,35	23,48	33,66	64,56	7,378	681	1336		32,93	0,8249	0,8249	0	23,8	1,023	8,584	0	26,05
	4950	16,74	17,58	17,99	25,52	24,54	34,82	65,22	7,507	713,6	1406		34,07	0,8392	0,8392	0	24,94	1,023	8,584	0	26,05
	5000	17,7	18,56	18,99	26,67	25,61	35,97	65,88	7,63	745,7	1476		35,19	0,8535	0,8535	0	26,06	1,023	8,584	0	26,05
	5050	18,59	19,46	19,91	27,69	26,6	36,99	66,53	7,745	774,3	1537		36,19	0,8681	0,8681	0	27,06	1,023	8,584	0	26,05
	5100	19,47	20,35	20,82	28,68	27,58	37,98	67,19	7,858	801,9	1596		37,15	0,8828	0,8828	0	28,03	1,023	8,584	0	26,05
	5150	20,36	21,25	21,75	29,65	28,57	38,95	67,85	7,968	829,2	1655		38,11	0,8977	0,8977	0	28,98	1,023	8,584	0	26,05
	5200	21,33	22,24	22,76	30,73	29,64	40,03	68,51	8,076	859,4	1720		39,16	0,9127	0,9127	0	30,03	1,023	8,584	0	26,05
	5250	22,62	23,55	24,1	32,23	31,05	41,52	69,17	8,175	901,2	1810		40,62	0,928	0,928	0	31,5	1,023	8,584	0	26,05
	5300	23,94	24,89	25,46	33,74	32,48	43,03	69,83	8,271	943,5	1901		42,1	0,9433	0,9433	0	32,97	1,023	8,584	0	26,05
	5350	25,35	26,31	26,92	35,32	34	44,62	70,49	8,355	987,8	1994		43,65	0,9589	0,9589	0	34,52	1,023	8,584	0	26,05
	5400	26,77	27,74	28,38	36,91	35,53	46,2	71,15	8,439	1032	2087		45,2	0,9745	0,9745	0	36,07	1,023	8,584	0	26,05
	5450	27,84	28,83	29,5	38,01	36,71	47,3	71,8	8,52	1063	2149		46,27	0,9904	0,9904	0	37,15	1,023	8,584	0	26,05
	5500	28,84	29,85	30,54	38,98	37,81	48,27	72,46	8,599	1090	2204		47,23	1,006	1,006	0	38,1	1,023	8,584	0	26,05
	5550	29,69	30,71	31,42	39,76	38,76	49,05	73,12	8,68	1112	2247		47,99	1,022	1,022	0	38,86	1,023	8,584	0	26,05
