																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	5100	21,99	22,87	23,36	32,17	31,54	43,43	67,19	7,017	901,3	1805	0	42,52	0,8829	0,8829	0	31,5	1,021	8,584	0	
	5150	22,49	23,39	23,89	32,58	32,14	43,84	67,85	7,119	912,7	1828	0	42,92	0,8977	0,8977	0	31,9	1,021	8,584	0	
	5200	23,15	24,06	24,58	33,19	32,91	44,45	68,51	7,218	929,8	1862	0	43,52	0,9128	0,9128	0	32,5	1,021	8,584	0	
	5250	23,94	24,87	25,4	33,97	33,82	45,23	69,17	7,314	951,9	1908	0	44,29	0,928	0,928	0	33,27	1,021	8,584	0	
	5300	24,81	25,75	26,3	34,85	34,8	46,11	69,83	7,406	976,4	1960	0	45,15	0,9433	0,9433	0	34,12	1,021	8,584	0	
	5350	25,77	26,73	27,3	35,82	35,87	47,08	70,49	7,492	1004	2018	0	46,1	0,9588	0,9588	0	35,08	1,021	8,584	0	
	5400	26,69	27,67	28,26	36,75	36,91	48,01	71,15	7,578	1030	2073	0	47,01	0,9744	0,9744	0	35,98	1,021	8,584	0	
	5450	27,45	28,44	29,05	37,42	37,78	48,68	71,8	7,662	1049	2114	0	47,67	0,9904	0,9904	0	36,64	1,021	8,584	0	
	5500	28,21	29,21	29,84	38,1	38,65	49,36	72,46	7,745	1067	2155	0	48,33	1,006	1,006	0	37,3	1,021	8,584	0	
	5550	28,72	29,75	30,38	38,44	39,28	49,7	73,12	7,829	1077	2169	0	48,67	1,023	1,023	0	37,64	1,021	8,584	0	
	5600	29,16	30,2	30,84	38,68	39,82	49,94	73,78	7,912	1084	2176	0	48,9	1,039	1,039	0	37,88	1,021	8,584	0	
	5650	29,54	30,6	31,25	38,85	40,31	50,11	74,44	7,997	1088	2173	0	49,06	1,055	1,055	0	38,04	1,021	8,584	0	
	5700	29,82	30,89	31,55	38,88	40,69	50,14	75,1	8,084	1089	2153	0	49,09	1,072	1,072	0	38,07	1,021	8,584	0	
	5750	30,1	31,19	31,85	38,91	41,07	50,16	75,76	8,171	1090	2133	0	49,12	1,089	1,089	0	38,1	1,021	8,584	0	
	5800	30,37	31,47	32,14	38,93	41,44	50,18	76,42	8,26	1091	2103	0	49,14	1,106	1,106	0	38,11	1,021	8,584	0	
	5850	30,64	31,76	32,44	38,94	41,81	50,2	77,08	8,348	1091	2072	0	49,16	1,123	1,123	0	38,13	1,021	8,584	0	
	5900	31,04	32,18	32,87	39,12	42,32	50,38	77,73	8,44	1096	2042	0	49,33	1,140	1,140	0	38,31	1,021	8,584	0	
	5950	31,47	32,63	33,33	39,34	42,86	50,6	78,39	8,533	1102	2011	0	49,54	1,158	1,158	0	38,52	1,021	8,584	0	
	6000	32,02	33,2	33,91	39,69	43,52	50,95	79,05	8,626	1112	1979	0	49,88	1,176	1,176	0	38,86	1,021	8,584	0	
	6050	32,64	33,83	34,55	40,11	44,25	51,37	79,71	8,719	1124	1944	0	50,3	1,193	1,193	0	39,28	1,021	8,584	0	
	6100	33,33	34,54	35,27	40,61	45,05	51,87	80,37	8,816	1138	1906	0	50,79	1,212	1,212	0	39,76	1,021	8,584	0	
	6150	34,08	35,31	36,07	41,19	45,92	52,44	81,03	8,917	1154	1864	0	51,35	1,23	1,23	0	40,33	1,021	8,584	0	
	6200	34,71	35,96	36,73	41,6	46,67	52,86	81,69	9,019	1166	1807	0	51,76	1,248	1,248	0	40,74	1,021	8,584	0	
	6250	35,23	36,49	37,27	41,88	47,29	53,14	82,35	9,122	1173	1737	0	52,03	1,267	1,267	0	41,01	1,021	8,584	0	
	6300	35,57	36,85	37,64	41,96	47,74	53,22	83	9,238	1176	1651	0	52,11	1,286	1,286	0	41,09	1,021	8,584	0	
	6350	35,78	37,09	37,88	41,89	48,05	53,15	83,66	9,365	1174	1552	0	52,04	1,304	1,304	0	41,02	1,021	8,584	0	
	6400	35,76	37,09	37,88	41,57	48,14	52,83	84,32	9,489	1165	1482	0	51,73	1,324	1,324	0	40,7	1,021	8,584	0	
	6450	35,64	36,98	37,77	41,13	48,11	52,39	84,98	9,618	1152	1420	0	51,29	1,343	1,343	0	40,27	1,021	8,584	0	
	6500	35,33	36,7	37,48	40,5	47,9	51,76	85,64	9,756	1135	1374	0	50,68	1,362	1,362	0	39,65	1,021	8,584	0	
	6550	34,96	36,34	37,11	39,8	47,61	51,06	86,3	9,887	1115	1353	0	49,99	1,382	1,382	0	38,97	1,021	8,584	0	
