SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;TAR LB;VOLTS;SHIF A;
1337 ;0:27,40 ;4812 ;10 ;102;58;1,055 ;1,000 ;11,4 ;0 ;
1337 ;0:27,50 ;4813 ;10 ;102;59;1,062 ;1,000 ;11,5 ;0 ;
1337 ;0:27,60 ;4841 ;10 ;102;58;1,056 ;1,000 ;11,5 ;0 ;
1337 ;0:27,70 ;4858 ;10 ;102;59;1,048 ;1,000 ;11,6 ;0 ;
1337 ;0:27,80 ;4838 ;11 ;102;58;1,090 ;1,000 ;11,6 ;0 ;
1337 ;0:27,90 ;4839 ;10 ;102;58;1,087 ;1,000 ;11,5 ;0 ;
1337 ;0:28,00 ;4841 ;10 ;102;58;1,081 ;1,000 ;11,4 ;0 ;
1337 ;0:28,10 ;4807 ;11 ;102;58;1,082 ;1,000 ;11,3 ;0 ;
1337 ;0:28,20 ;4763 ;10 ;102;58;1,060 ;1,000 ;11,4 ;0 ;
1337 ;0:28,30 ;4767 ;10 ;102;57;1,025 ;1,000 ;11,5 ;0 ;
1337 ;0:28,40 ;4744 ;10 ;102;57;1,010 ;1,000 ;11,6 ;0 ;
1337 ;0:28,50 ;4732 ;10 ;102;57;0,966 ;1,000 ;11,6 ;0 ;
1337 ;0:28,60 ;4764 ;10 ;102;56;0,914 ;1,000 ;11,5 ;0 ;
1337 ;0:28,70 ;4836 ;11 ;102;55;0,867 ;1,000 ;11,5 ;0 ;
1337 ;0:28,80 ;4951 ;9 ;102;54;0,849 ;1,000 ;11,6 ;0 ;
1337 ;0:28,90 ;5153 ;11 ;102;52;0,843 ;1,000 ;11,6 ;0 ;
1337 ;0:29,00 ;5349 ;13 ;102;48;0,827 ;1,000 ;11,5 ;0 ;
1337 ;0:29,10 ;5570 ;14 ;102;45;0,808 ;1,000 ;11,5 ;0 ;
1337 ;0:29,20 ;5826 ;14 ;102;42;0,803 ;1,000 ;11,4 ;0 ;
1337 ;0:29,30 ;5963 ;14 ;102;40;0,808 ;1,000 ;11,5 ;0 ;
1337 ;0:29,40 ;6038 ;13 ;102;39;0,820 ;1,000 ;11,6 ;0 ;
1337 ;0:29,50 ;6089 ;11 ;102;39;0,818 ;1,000 ;11,5 ;0 ;
1337 ;0:29,60 ;6151 ;11 ;102;39;0,807 ;1,000 ;11,5 ;0 ;
1337 ;0:29,70 ;6155 ;11 ;102;39;0,789 ;1,000 ;11,5 ;0 ;
1337 ;0:29,80 ;6192 ;12 ;102;40;0,792 ;1,000 ;11,5 ;0 ;
1337 ;0:29,90 ;6173 ;12 ;102;41;0,793 ;1,000 ;11,4 ;0 ;
1337 ;0:30,00 ;6032 ;12 ;102;43;0,800 ;1,000 ;11,4 ;0 ;
1337 ;0:30,10 ;5918 ;12 ;102;46;0,806 ;1,000 ;11,4 ;0 ;
1337 ;0:30,20 ;5819 ;12 ;102;47;0,802 ;1,000 ;11,6 ;0 ;
1337 ;0:30,30 ;5723 ;12 ;102;49;0,797 ;1,000 ;11,4 ;0 ;
1337 ;0:30,40 ;5673 ;12 ;102;50;0,802 ;1,000 ;11,5 ;0 ;
1337 ;0:30,50 ;5630 ;12 ;102;50;0,807 ;1,000 ;11,4 ;0 ;
1337 ;0:30,60 ;5582 ;12 ;102;50;0,826 ;1,000 ;11,6 ;0 ;
1337 ;0:30,70 ;5605 ;12 ;102;51;0,839 ;1,000 ;11,5 ;0 ;
1337 ;0:30,80 ;5610 ;12 ;102;51;0,841 ;1,000 ;11,5 ;0 ;
1337 ;0:30,90 ;5595 ;12 ;102;52;0,847 ;1,000 ;11,6 ;0 ;
1337 ;0:31,00 ;5487 ;12 ;102;54;0,853 ;1,000 ;11,5 ;0 ;
1337 ;0:31,10 ;5455 ;12 ;102;54;0,877 ;1,000 ;11,5 ;0 ;
1337 ;0:31,20 ;5389 ;12 ;101;55;0,882 ;1,000 ;11,5 ;0 ;
