SESSION; TIME;RPM;THROT;WATER;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;SHIF A;
1300 ;2:06,40 ;8230 ;20 ;77;28;1,060 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;11,9 ;-1 ;1,73 ;28,0 ;0 ;0 ;
1300 ;2:06,50 ;9177 ;14 ;77;29;1,000 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;11,9 ;-1 ;1,88 ;28,7 ;0 ;0 ;
1300 ;2:06,60 ;9259 ;35 ;77;44;0,928 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,58 ;12,0 ;-1 ;2,26 ;35,4 ;0 ;0 ;
1300 ;2:06,70 ;8518 ;33 ;77;46;1,100 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;12,0 ;-1 ;2,25 ;36,3 ;0 ;0 ;
1300 ;2:06,80 ;7904 ;29 ;76;43;0,896 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,57 ;12,0 ;-1 ;2,15 ;34,0 ;0 ;0 ;
1300 ;2:06,90 ;8507 ;24 ;76;36;0,831 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,59 ;12,0 ;-1 ;2,01 ;31,1 ;0 ;0 ;
1300 ;2:07,00 ;9498 ;23 ;76;40;0,966 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,9 ;-1 ;2,16 ;32,7 ;0 ;0 ;
1300 ;2:07,10 ;9101 ;38 ;76;61;1,123 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;11,8 ;-1 ;3,45 ;39,9 ;0 ;0 ;
1300 ;2:07,20 ;6795 ;47 ;76;79;0,939 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,55 ;12,0 ;-1 ;4,59 ;37,3 ;0 ;0 ;
1300 ;2:07,30 ;5320 ;47 ;76;83;0,896 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,56 ;12,0 ;-1 ;4,58 ;30,0 ;0 ;0 ;
1300 ;2:07,40 ;4344 ;46 ;76;87;0,959 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,49 ;12,0 ;-1 ;4,33 ;29,1 ;0 ;0 ;
1300 ;2:07,50 ;3322 ;38 ;76;77;0,906 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,52 ;12,1 ;-1 ;4,58 ;22,3 ;0 ;0 ;
1300 ;2:07,60 ;3498 ;17 ;76;58;0,831 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,54 ;12,0 ;-1 ;3,69 ;23,9 ;0 ;0 ;
1300 ;2:07,70 ;3937 ;14 ;76;48;0,783 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,62 ;12,1 ;-1 ;3,14 ;28,4 ;0 ;0 ;
1300 ;2:07,80 ;4532 ;13 ;76;43;0,752 ;0,0 ;0,0 ;0,0 ;0,0 ;0 ;4,67 ;12,0 ;-1 ;3,15 ;28,7 ;0 ;0 ;
