SESSION; TIME;RPM;THROT;WATER;AIR;MAP;LAMB;L U SP;R U SP;L D SP;R D SP;TRAC %;FUEL P;VOLTS;SLIP%;INJ;ADV;LAUC S;
1863 ;0:04,40 ;6121 ;14 ;77;18;43;0,835 ;9,5 ;9,6 ;9,5 ;9,4 ;0 ;4,60 ;12,3 ;-2 ;2,20 ;33,5 ;0 ;
1863 ;0:04,50 ;6097 ;14 ;77;18;43;0,838 ;10,1 ;10,1 ;10,1 ;9,9 ;0 ;4,60 ;12,2 ;-1 ;2,20 ;33,5 ;0 ;
1863 ;0:04,60 ;6173 ;14 ;77;18;43;0,839 ;10,6 ;10,6 ;10,5 ;10,5 ;0 ;4,59 ;12,4 ;0 ;2,20 ;33,5 ;0 ;
1863 ;0:04,70 ;6223 ;14 ;77;18;43;0,839 ;11,1 ;11,1 ;11,0 ;11,0 ;0 ;4,60 ;12,2 ;0 ;2,20 ;33,6 ;0 ;
1863 ;0:04,80 ;6194 ;14 ;77;18;43;0,848 ;11,6 ;11,7 ;11,6 ;11,6 ;0 ;4,56 ;12,2 ;0 ;2,20 ;33,5 ;0 ;
1863 ;0:04,90 ;6231 ;14 ;77;18;43;0,858 ;12,2 ;12,2 ;12,2 ;12,1 ;0 ;4,61 ;12,4 ;0 ;2,20 ;33,6 ;0 ;
1863 ;0:05,00 ;6245 ;14 ;77;18;43;0,871 ;12,9 ;12,9 ;12,9 ;12,7 ;0 ;4,62 ;12,3 ;-1 ;2,20 ;33,6 ;0 ;
1863 ;0:05,10 ;6245 ;14 ;77;18;42;0,881 ;13,4 ;13,4 ;13,4 ;13,3 ;0 ;4,62 ;12,1 ;0 ;2,19 ;32,9 ;0 ;
1863 ;0:05,20 ;6294 ;14 ;77;18;42;0,885 ;13,8 ;13,8 ;13,9 ;13,8 ;0 ;4,58 ;12,3 ;0 ;2,19 ;32,9 ;0 ;
1863 ;0:05,30 ;6291 ;14 ;77;18;42;0,887 ;14,3 ;14,4 ;14,3 ;14,2 ;0 ;4,55 ;12,3 ;-1 ;2,19 ;32,9 ;0 ;
1863 ;0:05,40 ;6317 ;14 ;77;18;42;0,887 ;14,7 ;14,9 ;14,7 ;14,8 ;0 ;4,58 ;12,3 ;-1 ;2,19 ;32,9 ;0 ;
1863 ;0:05,50 ;6289 ;14 ;77;18;42;0,877 ;15,0 ;15,4 ;15,0 ;15,1 ;0 ;4,59 ;12,2 ;-2 ;2,19 ;32,9 ;0 ;
1863 ;0:05,60 ;6291 ;14 ;77;18;42;0,883 ;15,5 ;15,9 ;15,6 ;15,7 ;0 ;4,57 ;12,3 ;-1 ;2,19 ;32,9 ;0 ;
1863 ;0:05,70 ;6291 ;14 ;77;18;42;0,876 ;16,0 ;16,3 ;16,0 ;16,1 ;0 ;4,57 ;12,3 ;-1 ;2,19 ;32,9 ;0 ;
1863 ;0:05,80 ;6302 ;14 ;77;18;42;0,863 ;16,4 ;16,7 ;16,6 ;16,4 ;0 ;4,56 ;12,2 ;-1 ;2,19 ;32,9 ;0 ;
1863 ;0:05,90 ;6315 ;15 ;77;18;42;0,849 ;16,9 ;16,8 ;16,8 ;16,7 ;0 ;4,60 ;12,2 ;-1 ;2,19 ;32,9 ;0 ;
1863 ;0:06,00 ;6375 ;15 ;77;18;41;0,834 ;17,3 ;17,3 ;17,4 ;17,2 ;0 ;4,62 ;12,2 ;0 ;2,17 ;32,3 ;0 ;
1863 ;0:06,10 ;6432 ;15 ;77;18;41;0,831 ;17,7 ;17,8 ;17,8 ;17,6 ;0 ;4,66 ;12,4 ;-1 ;2,18 ;32,3 ;0 ;
1863 ;0:06,20 ;6485 ;15 ;77;18;40;0,836 ;18,2 ;18,2 ;17,9 ;17,8 ;0 ;4,60 ;12,4 ;-2 ;2,16 ;31,6 ;0 ;
1863 ;0:06,30 ;6592 ;15 ;77;18;40;0,842 ;18,6 ;18,5 ;18,6 ;18,4 ;0 ;4,57 ;12,4 ;-1 ;2,16 ;31,6 ;0 ;
1863 ;0:06,40 ;6674 ;15 ;77;18;39;0,850 ;19,0 ;18,9 ;19,0 ;18,8 ;0 ;4,59 ;12,2 ;-1 ;2,15 ;31,0 ;0 ;
1863 ;0:06,50 ;6791 ;16 ;77;18;39;0,849 ;19,4 ;19,3 ;19,4 ;19,1 ;0 ;4,66 ;12,2 ;-1 ;2,15 ;31,0 ;0 ;
1863 ;0:06,60 ;6868 ;16 ;77;18;39;0,843 ;19,7 ;19,7 ;19,7 ;19,5 ;0 ;4,60 ;12,2 ;-1 ;2,15 ;31,0 ;0 ;
1863 ;0:06,70 ;6916 ;16 ;77;18;39;0,833 ;20,1 ;20,1 ;20,2 ;19,9 ;0 ;4,58 ;12,2 ;0 ;2,15 ;31,0 ;0 ;
1863 ;0:06,80 ;6991 ;17 ;77;18;39;0,825 ;20,6 ;20,6 ;20,6 ;20,3 ;0 ;4,60 ;12,2 ;-1 ;2,15 ;31,0 ;0 ;
1863 ;0:06,90 ;7043 ;17 ;77;18;39;0,814 ;21,0 ;20,9 ;21,0 ;20,8 ;0 ;4,58 ;12,3 ;0 ;2,15 ;31,0 ;0 ;
1863 ;0:07,00 ;7088 ;17 ;77;18;38;0,807 ;21,4 ;21,4 ;21,4 ;21,4 ;0 ;4,57 ;12,2 ;0 ;2,08 ;30,7 ;0 ;
1863 ;0:07,10 ;7134 ;17 ;77;18;38;0,800 ;21,9 ;21,9 ;21,8 ;21,7 ;0 ;4,59 ;12,4 ;0 ;2,08 ;30,7 ;0 ;
1863 ;0:07,20 ;7172 ;17 ;77;18;38;0,792 ;22,2 ;22,3 ;22,1 ;22,2 ;0 ;4,55 ;12,3 ;0 ;2,08 ;30,7 ;0 ;
1863 ;0:07,30 ;7131 ;18 ;77;18;39;0,792 ;22,8 ;22,7 ;22,6 ;22,5 ;0 ;4,60 ;12,3 ;-1 ;2,15 ;31,0 ;0 ;
1863 ;0:07,40 ;7203 ;18 ;77;18;39;0,793 ;22,9 ;22,9 ;22,9 ;22,9 ;0 ;4,58 ;12,3 ;0 ;2,15 ;31,0 ;0 ;
1863 ;0:07,50 ;7219 ;18 ;77;18;40;0,795 ;23,3 ;23,2 ;23,1 ;23,1 ;0 ;4,62 ;12,3 ;0 ;2,16 ;31,7 ;0 ;
1863 ;0:07,60 ;7217 ;19 ;77;18;40;0,786 ;23,4 ;23,4 ;23,4 ;23,0 ;0 ;4,56 ;12,4 ;-1 ;2,16 ;31,7 ;0 ;
1863 ;0:07,70 ;7217 ;19 ;77;18;40;0,779 ;23,6 ;23,5 ;23,6 ;23,3 ;0 ;4,55 ;12,3 ;-1 ;2,16 ;31,7 ;0 ;
1863 ;0:07,80 ;7205 ;19 ;77;18;40;0,773 ;23,7 ;23,8 ;23,8 ;23,7 ;0 ;4,61 ;12,3 ;0 ;2,16 ;31,7 ;0 ;
1863 ;0:07,90 ;7211 ;19 ;77;18;39;0,758 ;23,8 ;23,7 ;23,9 ;23,7 ;0 ;4,58 ;12,3 ;0 ;2,15 ;31,0 ;0 ;
1863 ;0:08,00 ;7361 ;20 ;77;18;39;0,753 ;24,1 ;23,9 ;24,1 ;23,7 ;0 ;4,61 ;12,2 ;-1 ;2,15 ;31,0 ;0 ;
1863 ;0:08,10 ;7533 ;20 ;77;18;40;0,807 ;24,2 ;24,0 ;23,9 ;23,8 ;0 ;4,63 ;12,2 ;-1 ;2,17 ;31,7 ;0 ;
1863 ;0:08,20 ;7530 ;20 ;77;18;44;0,878 ;24,5 ;24,1 ;24,5 ;24,0 ;0 ;4,60 ;12,2 ;-1 ;2,24 ;34,7 ;0 ;
1863 ;0:08,30 ;7222 ;21 ;77;18;51;0,867 ;24,5 ;24,4 ;24,8 ;24,3 ;0 ;4,62 ;12,2 ;0 ;2,52 ;38,1 ;0 ;
1863 ;0:08,40 ;6469 ;21 ;77;18;58;0,860 ;24,7 ;24,3 ;24,7 ;24,2 ;0 ;4,61 ;12,2 ;-1 ;2,74 ;39,4 ;0 ;
1863 ;0:08,50 ;5526 ;21 ;77;18;67;0,844 ;24,8 ;24,5 ;24,9 ;24,5 ;0 ;4,63 ;12,1 ;0 ;3,16 ;33,4 ;0 ;
1863 ;0:08,60 ;4968 ;21 ;77;18;69;0,875 ;24,9 ;24,5 ;24,6 ;24,3 ;0 ;4,60 ;12,3 ;-2 ;3,32 ;30,2 ;0 ;
1863 ;0:08,70 ;4580 ;21 ;77;18;68;0,983 ;25,2 ;24,7 ;25,0 ;24,6 ;0 ;4,66 ;12,4 ;-1 ;3,20 ;28,9 ;0 ;
1863 ;0:08,80 ;4235 ;21 ;77;18;63;0,970 ;25,4 ;25,0 ;25,3 ;24,9 ;0 ;4,58 ;12,3 ;-1 ;2,83 ;27,4 ;0 ;
1863 ;0:08,90 ;4288 ;21 ;77;17;55;0,941 ;25,6 ;25,0 ;25,8 ;25,0 ;0 ;4,61 ;12,4 ;-1 ;2,43 ;27,1 ;0 ;
1863 ;0:09,00 ;4905 ;13 ;77;18;39;0,925 ;25,8 ;25,5 ;25,7 ;25,2 ;0 ;4,62 ;12,3 ;-1 ;2,05 ;27,7 ;0 ;
1863 ;0:09,10 ;5751 ;7 ;76;18;33;0,831 ;26,0 ;25,5 ;26,0 ;25,3 ;0 ;4,57 ;12,3 ;-2 ;1,75 ;28,7 ;0 ;
1863 ;0:09,20 ;6722 ;7 ;76;18;34;0,770 ;26,1 ;25,6 ;25,9 ;25,4 ;0 ;4,61 ;12,4 ;-2 ;1,85 ;29,5 ;0 ;
1863 ;0:09,30 ;7796 ;8 ;76;18;44;0,880 ;26,3 ;25,9 ;26,1 ;25,6 ;0 ;4,60 ;12,3 ;-2 ;2,24 ;34,7 ;0 ;
1863 ;0:09,40 ;7488 ;41 ;76;18;73;0,827 ;26,4 ;26,0 ;26,2 ;25,8 ;0 ;4,58 ;12,3 ;-1 ;4,25 ;41,3 ;0 ;
1863 ;0:09,50 ;5632 ;41 ;76;18;83;0,840 ;26,4 ;26,3 ;26,7 ;26,2 ;0 ;4,61 ;12,2 ;0 ;4,87 ;32,9 ;0 ;
1863 ;0:09,60 ;4367 ;39 ;77;18;81;0,840 ;26,6 ;26,4 ;26,7 ;26,3 ;0 ;4,58 ;12,4 ;0 ;4,08 ;28,7 ;0 ;
1863 ;0:09,70 ;3795 ;20 ;76;18;61;0,819 ;26,8 ;26,7 ;27,1 ;26,5 ;0 ;4,52 ;12,2 ;0 ;2,65 ;25,4 ;0 ;
1863 ;0:09,80 ;4284 ;9 ;77;18;61;0,785 ;27,0 ;26,8 ;27,3 ;26,7 ;0 ;4,65 ;12,5 ;0 ;2,73 ;27,5 ;0 ;
1863 ;0:09,90 ;4537 ;13 ;76;18;66;0,766 ;27,4 ;27,2 ;27,3 ;27,1 ;0 ;4,60 ;12,2 ;-1 ;3,05 ;28,6 ;0 ;
1863 ;0:10,00 ;4744 ;17 ;76;18;67;0,769 ;27,2 ;27,0 ;27,5 ;26,9 ;0 ;4,57 ;12,3 ;0 ;3,16 ;29,4 ;0 ;
1863 ;0:10,10 ;5222 ;22 ;76;18;70;0,777 ;27,1 ;27,0 ;27,5 ;26,9 ;0 ;4,51 ;12,2 ;0 ;3,42 ;31,5 ;0 ;
1863 ;0:10,20 ;5000 ;22 ;76;18;72;0,791 ;26,9 ;26,7 ;26,8 ;26,7 ;0 ;4,64 ;12,5 ;0 ;3,50 ;30,4 ;0 ;
1863 ;0:10,30 ;4984 ;23 ;76;18;71;0,778 ;26,9 ;26,5 ;27,1 ;26,8 ;0 ;4,55 ;12,2 ;0 ;3,44 ;30,3 ;0 ;
