																					
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	OBD-PID13 : Vitesse du véhicule	Couple moteur brut	Puissance Pertes Calibrées Totales	Puissance Pertes Calibrées Banc	Puissance Pertes Calibrées Vehicule	Couple brut	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	Km/h	N.m	ch	ch	ch	N.m	 	 	 	%
	4350	11,66	12,34	12,63	20,39	18,4	29,71	57,31	5,392	570,2	1094		29,03	0,678	0,678	0	19,93	1,023	8,584	0	25,62
	4400	11,34	12,03	12,31	19,64	18,14	28,96	57,97	5,56	549,3	1054		28,3	0,6906	0,6906	0	19,2	1,023	8,584	0	25,62
	4450	11,47	12,17	12,46	19,66	18,36	28,98	58,63	5,722	549,8	1058		28,31	0,7034	0,7034	0	19,22	1,023	8,584	0	25,62
	4500	11,81	12,52	12,81	20	18,78	29,32	59,29	5,894	559,3	1078		28,65	0,7163	0,7163	0	19,55	1,023	8,584	0	25,62
	4550	12,33	13,06	13,37	20,63	19,4	29,95	59,95	6,056	576,9	1112		29,26	0,7294	0,7294	0	20,16	1,023	8,584	0	25,62
	4600	12,76	13,5	13,81	21,09	19,91	30,4	60,61	6,213	589,7	1137		29,71	0,7426	0,7426	0	20,61	1,023	8,584	0	25,62
	4650	12,92	13,67	13,99	21,13	20,16	30,45	61,26	6,371	591	1141		29,75	0,7559	0,7559	0	20,66	1,023	8,584	0	25,62
	4700	12,72	13,49	13,8	20,62	20,03	29,94	61,92	6,537	576,6	1111		29,25	0,7694	0,7694	0	20,15	1,023	8,584	0	25,62
	4750	13,29	14,07	14,4	21,29	20,7	30,61	62,58	6,715	595,4	1151		29,91	0,783	0,783	0	20,81	1,023	8,584	0	25,62
	4800	14,39	15,19	15,54	22,73	21,91	32,05	63,24	6,85	635,7	1238		31,31	0,7969	0,7969	0	22,22	1,023	8,584	0	25,62
	4850	15,6	16,41	16,79	24,3	23,22	33,62	63,9	6,98	679,7	1333		32,85	0,8108	0,8108	0	23,75	1,023	8,584	0	25,62
	4900	16,87	17,69	18,1	25,94	24,6	35,26	64,56	7,107	725,4	1429		34,45	0,8249	0,8249	0	25,35	1,023	8,584	0	25,62
	4950	18,01	18,85	19,29	27,36	25,85	36,67	65,22	7,223	765,1	1511		35,84	0,8392	0,8392	0	26,74	1,023	8,584	0	25,62
	5000	19,12	19,98	20,44	28,71	27,07	38,03	65,88	7,336	803	1590		37,16	0,8535	0,8535	0	28,06	1,023	8,584	0	25,62
	5050	19,96	20,83	21,31	29,63	28,01	38,95	66,53	7,445	828,7	1644		38,06	0,8681	0,8681	0	28,96	1,023	8,584	0	25,62
	5100	20,8	21,68	22,18	30,55	28,95	39,87	67,19	7,553	854,3	1699		38,95	0,8828	0,8828	0	29,86	1,023	8,584	0	25,62
	5150	21,63	22,53	23,05	31,43	29,89	40,75	67,85	7,657	879	1754		39,82	0,8977	0,8977	0	30,72	1,023	8,584	0	25,62
	5200	22,57	23,49	24,03	32,45	30,93	41,77	68,51	7,758	907,5	1816		40,81	0,9127	0,9127	0	31,72	1,023	8,584	0	25,62
	5250	23,84	24,76	25,34	33,88	32,3	43,2	69,17	7,853	947,6	1900		42,21	0,928	0,928	0	33,12	1,023	8,584	0	25,62
	5300	25,11	26,05	26,65	35,32	33,68	44,63	69,83	7,945	987,6	1985		43,61	0,9433	0,9433	0	34,52	1,023	8,584	0	25,62
	5350	26,42	27,38	28,01	36,75	35,11	46,07	70,49	8,026	1028	2069		45,02	0,9589	0,9589	0	35,92	1,023	8,584	0	25,62
	5400	27,73	28,7	29,37	38,19	36,53	47,51	71,15	8,107	1068	2153		46,42	0,9745	0,9745	0	37,32	1,023	8,584	0	25,62
	5450	28,77	29,76	30,45	39,23	37,68	48,55	71,8	8,186	1097	2215		47,44	0,9904	0,9904	0	38,34	1,023	8,584	0	25,62
	5500	29,67	30,67	31,38	40,07	38,68	49,39	72,46	8,264	1120	2264		48,26	1,006	1,006	0	39,16	1,023	8,584	0	25,62
	5550	30,52	31,54	32,27	40,84	39,64	50,16	73,12	8,343	1142	2310		49,02	1,022	1,022	0	39,92	1,023	8,584	0	25,62
	5600	30,96	31,99	32,74	41,05	40,17	50,37	73,78	8,421	1148	2323		49,22	1,039	1,039	0	40,12	1,023	8,584	0	25,62
	5650	31,39	32,45	33,2	41,27	40,69	50,59	74,44	8,5	1154	2337		49,43	1,055	1,055	0	40,33	1,023	8,584	0	25,62
	5700	31,68	32,75	33,51	41,29	41,07	50,61	75,1	8,579	1155	2339		49,45	1,072	1,072	0	40,35	1,023	8,584	0	25,62
	5750	31,84	32,93	33,69	41,16	41,32	50,48	75,76	8,659	1151	2331		49,32	1,089	1,089	0	40,23	1,023	8,584	0	25,62
	5800	32,01	33,11	33,88	41,03	41,58	50,35	76,42	8,738	1147	2323		49,2	1,106	1,106	0	40,1	1,023	8,584	0	25,62
	5850	32,12	33,24	34,01	40,84	41,78	50,16	77,08	8,819	1142	2308		49,01	1,123	1,123	0	39,91	1,023	8,584	0	25,62
	5900	32,23	33,37	34,15	40,65	41,98	49,97	77,73	8,899	1137	2292		48,83	1,140	1,140	0	39,73	1,023	8,584	0	25,62
	5950	32,55	33,71	34,49	40,71	42,38	50,03	78,39	8,981	1138	2292		48,88	1,158	1,158	0	39,79	1,023	8,584	0	25,62
	6000	33,03	34,2	35	40,96	42,96	50,28	79,05	9,062	1146	2304		49,13	1,176	1,176	0	40,03	1,023	8,584	0	25,62
	6050	33,53	34,73	35,53	41,25	43,56	50,57	79,71	9,143	1154	2318		49,41	1,193	1,193	0	40,31	1,023	8,584	0	25,62
	6100	34,28	35,49	36,31	41,8	44,41	51,12	80,37	9,217	1169	2352		49,96	1,212	1,212	0	40,86	1,023	8,584	0	25,62
	6150	35,03	36,26	37,1	42,36	45,26	51,68	81,03	9,290	1185	2386		50,5	1,23	1,23	0	41,4	1,023	8,584	0	25,62
	6200	35,68	36,92	37,78	42,8	46,01	52,12	81,69	9,364	1197	2412		50,93	1,248	1,248	0	41,83	1,023	8,584	0	25,62
	6250	36,17	37,44	38,31	43,05	46,6	52,37	82,35	9,438	1204	2426		51,17	1,267	1,267	0	42,07	1,023	8,584	0	25,62
	6300	36,67	37,96	38,84	43,29	47,2	52,61	83	9,511	1211	2440		51,41	1,286	1,286	0	42,31	1,023	8,584	0	25,62
	6350	36,89	38,19	39,08	43,22	47,5	52,54	83,66	9,587	1209	2436		51,34	1,305	1,305	0	42,24	1,023	8,584	0	25,62
	6400	36,97	38,29	39,18	43	47,67	52,32	84,32	9,664	1202	2423		51,12	1,324	1,324	0	42,02	1,023	8,584	0	25,62
	6450	37,03	38,37	39,26	42,75	47,82	52,07	84,98	9,74	1196	2409		50,88	1,343	1,343	0	41,78	1,023	8,584	0	25,62
	6500	36,76	38,13	39,01	42,16	47,64	51,48	85,64	9,819	1179	2376		50,3	1,363	1,363	0	41,2	1,023	8,584	0	25,62
	6550	36,5	37,89	38,76	41,57	47,46	50,89	86,3	9,897	1163	2342		49,73	1,382	1,382	0	40,63	1,023	8,584	0	25,62
	6600	36,12	37,52	38,39	40,86	47,15	50,18	86,96	9,978	1143	2299		49,03	1,402	1,402	0	39,93	1,023	8,584	0	25,62
	6650	35,61	37,03	37,89	40,03	46,72	49,35	87,62	10,06	1119	2245		48,22	1,422	1,422	0	39,12	1,023	8,584	0	25,62
	6700	35,13	36,57	37,42	39,23	46,31	48,55	88,27	10,15	1097	2194		47,44	1,442	1,442	0	38,34	1,023	8,584	0	25,62
	6750	34,8	36,26	37,1	38,61	46,06	47,93	88,93	10,24	1080	2156		46,84	1,463	1,463	0	37,74	1,023	8,584	0	25,62
	6800	34,47	35,95	36,79	38	45,81	47,32	89,59	10,33	1063	2118		46,23	1,484	1,484	0	37,14	1,023	8,584	0	25,62
	6850	34,41	35,91	36,75	37,68	45,83	47	90,25	10,41	1054	2101		45,92	1,504	1,504	0	36,83	1,023	8,584	0	25,62
	6900	34,38	35,91	36,74	37,4	45,89	46,72	90,91	10,5	1046	2086		45,65	1,525	1,525	0	36,55	1,023	8,584	0	25,62
	6950	34,45	36	36,83	37,22	46,05	46,54	91,57	10,59	1041	2072		45,47	1,547	1,547	0	36,38	1,023	8,584	0	25,62
	7000	34,59	36,16	37	37,12	46,29	46,44	92,23	10,68	1038	2059		45,38	1,568	1,568	0	36,28	1,023	8,584	0	25,62
	7050	34,84	36,43	37,28	37,13	46,63	46,45	92,89	10,76	1039	2050		45,39	1,59	1,59	0	36,29	1,023	8,584	0	25,62
	7100	35,3	36,91	37,77	37,36	47,19	46,68	93,54	10,85	1045	2051		45,61	1,612	1,612	0	36,51	1,023	8,584	0	25,62
	7150	35,77	37,41	38,27	37,6	47,76	46,92	94,2	10,94	1051	2052		45,84	1,634	1,634	0	36,75	1,023	8,584	0	25,62
	7200	36,38	38,03	38,91	37,96	48,47	47,28	94,86	11,03	1061	2057		46,2	1,656	1,656	0	37,1	1,023	8,584	0	25,62
	7250	36,98	38,66	39,55	38,32	49,17	47,64	95,52	11,12	1072	2062		46,55	1,678	1,678	0	37,45	1,023	8,584	0	25,62
	7300	37,62	39,32	40,23	38,7	49,92	48,02	96,18	11,21	1082	2059		46,93	1,701	1,701	0	37,83	1,023	8,584	0	25,62
	7350	38,27	39,99	40,92	39,1	50,67	48,42	96,84	11,3	1093	2054		47,31	1,724	1,724	0	38,21	1,023	8,584	0	25,62
	7400	38,95	40,69	41,63	39,51	51,45	48,83	97,5	11,39	1105	2040		47,72	1,747	1,747	0	38,62	1,023	8,584	0	25,62
	7450	39,65	41,42	42,38	39,95	52,26	49,27	98,16	11,48	1117	2021		48,14	1,77	1,77	0	39,04	1,023	8,584	0	25,62
	7500	40,39	42,18	43,16	40,41	53,11	49,73	98,81	11,57	1130	1995		48,6	1,793	1,793	0	39,5	1,023	8,584	0	25,62
	7550	41,19	43	44	40,93	54,02	50,25	99,47	11,66	1145	1959		49,1	1,817	1,817	0	40	1,023	8,584	0	25,62
	7600	42,03	43,88	44,89	41,48	54,98	50,8	100,1	11,76	1160	1920		49,64	1,841	1,841	0	40,55	1,023	8,584	0	25,62
	7650	43,01	44,87	45,91	42,15	56,06	51,47	100,8	11,86	1179	1874		50,29	1,865	1,865	0	41,19	1,023	8,584	0	25,62
	7700	44,03	45,92	46,98	42,85	57,2	52,17	101,4	11,96	1198	1828		50,98	1,889	1,889	0	41,88	1,023	8,584	0	25,62
	7750	45,18	47,1	48,19	43,67	58,47	52,99	102,1	12,07	1221	1781		51,78	1,914	1,914	0	42,68	1,023	8,584	0	25,62
	7800	46,38	48,32	49,44	44,51	59,79	53,84	102,8	12,17	1245	1736		52,6	1,939	1,939	0	43,51	1,023	8,584	0	25,62
	7850	47,65	49,62	50,77	45,42	61,19	54,74	103,4	12,28	1270	1695		53,49	1,964	1,964	0	44,39	1,023	8,584	0	25,62
	7900	48,94	50,93	52,11	46,32	62,59	55,64	104,1	12,4	1295	1653		54,37	1,989	1,989	0	45,27	1,023	8,584	0	25,62
	7950	50,23	52,25	53,46	47,23	64,01	56,55	104,7	12,51	1321	1611		55,25	2,014	2,014	0	46,16	1,023	8,584	0	25,62
	8000	51,53	53,56	54,81	48,11	65,42	57,43	105,4	12,63	1345	1572		56,12	2,04	2,04	0	47,02	1,023	8,584	0	25,62
	8050	52,79	54,86	56,13	48,97	66,81	58,29	106,1	12,75	1369	1536		56,96	2,065	2,065	0	47,86	1,023	8,584	0	25,62
	8100	53,86	55,95	57,25	49,64	68	58,96	106,7	12,87	1388	1513		57,61	2,092	2,092	0	48,51	1,023	8,584	0	25,62
	8150	54,82	56,94	58,26	50,2	69,07	59,52	107,4	12,99	1404	1493		58,16	2,118	2,118	0	49,07	1,023	8,584	0	25,62
	8200	55,64	57,78	59,12	50,64	70	59,96	108	13,12	1416	1474		58,59	2,144	2,144	0	49,49	1,023	8,584	0	25,62
	8250	56,27	58,45	59,8	50,91	70,75	60,23	108,7	13,24	1424	1458		58,85	2,171	2,171	0	49,76	1,023	8,584	0	25,62
	8300	56,87	59,07	60,43	51,14	71,45	60,46	109,4	13,37	1430	1447		59,08	2,198	2,198	0	49,98	1,023	8,584	0	25,62
	8350	57,43	59,65	61,04	51,34	72,12	60,66	110	13,5	1436	1445		59,28	2,225	2,225	0	50,18	1,023	8,584	0	25,62
	8400	58,06	60,31	61,71	51,6	72,86	60,92	110,7	13,62	1443	1457		59,53	2,252	2,252	0	50,43	1,023	8,584	0	25,62
	8450	58,69	60,97	62,39	51,86	73,6	61,18	111,3	13,75	1450	1475		59,78	2,280	2,280	0	50,68	1,023	8,584	0	25,62
	8500	59,01	61,32	62,74	51,84	74,02	61,16	112	13,86	1450	1480		59,76	2,308	2,308	0	50,67	1,023	8,584	0	25,62
	8550	59,17	61,5	62,93	51,69	74,28	61,02	112,6	13,99	1446	1480		59,62	2,336	2,336	0	50,52	1,023	8,584	0	25,62
	8600	59,1	61,47	62,89	51,36	74,31	60,69	113,3	14,12	1436	1472		59,3	2,364	2,364	0	50,2	1,023	8,584	0	25,62
	8650	59,26	61,65	63,08	51,22	74,56	60,54	114	14,24	1432	1484		59,16	2,393	2,393	0	50,06	1,023	8,584	0	25,62
	8700	59,45	61,87	63,3	51,1	74,85	60,43	114,6	14,36	1429	1497		59,04	2,421	2,421	0	49,95	1,023	8,584	0	25,62
	8750	59,6	62,05	63,48	50,96	75,1	60,28	115,3	14,48	1425	1504		58,9	2,45	2,45	0	49,8	1,023	8,584	0	25,62
	8800	59,77	62,25	63,69	50,83	75,37	60,16	115,9	14,6	1422	1517		58,78	2,48	2,48	0	49,68	1,023	8,584	0	25,62
	8850	59,96	62,47	63,92	50,73	75,66	60,05	116,6	14,73	1419	1534		58,68	2,509	2,509	0	49,58	1,023	8,584	0	25,62
	8900	60,04	62,58	64,02	50,53	75,84	59,85	117,3	14,84	1413	1540		58,48	2,539	2,539	0	49,38	1,023	8,584	0	25,62
