															
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	7750	44,5	46,45	47,82	43,33	58,17	52,71	102,9	10,15	1195	2418			0	
	7800	45,63	47,6	49,01	44,12	59,42	53,5	103,6	10,22	1217	2462			0	
	7850	46,76	48,76	50,2	44,92	60,68	54,29	104,2	10,29	1238	2506			0	
	7900	47,78	49,8	51,27	45,58	61,82	54,95	104,9	10,36	1257	2543			0	
	7950	48,78	50,83	52,34	46,23	62,95	55,6	105,6	10,43	1275	2580			0	
	8000	49,78	51,85	53,39	46,87	64,06	56,24	106,2	10,5	1292	2616			0	
	8050	50,63	52,73	54,29	47,36	65,04	56,74	106,9	10,57	1306	2644			0	
	8100	51,48	53,61	55,2	47,86	66,01	57,23	107,6	10,64	1319	2671			0	
	8150	52,32	54,47	56,09	48,33	66,96	57,71	108,2	10,71	1333	2699			0	
	8200	53,1	55,28	56,91	48,74	67,86	58,12	108,9	10,78	1344	2724			0	
	8250	53,87	56,08	57,74	49,15	68,75	58,52	109,6	10,84	1355	2750			0	
	8300	54,6	56,83	58,51	49,51	69,59	58,89	110,2	10,91	1365	2772			0	
	8350	55,1	57,36	59,06	49,68	70,21	59,05	110,9	10,97	1370	2782			0	
	8400	55,61	57,9	59,61	49,84	70,82	59,21	111,6	11,04	1374	2791			0	
	8450	56,08	58,4	60,13	49,98	71,41	59,35	112,2	11,1	1378	2798			0	
	8500	56,29	58,63	60,37	49,88	71,71	59,26	112,9	11,17	1375	2790			0	
	8550	56,49	58,87	60,61	49,79	72,02	59,16	113,5	11,24	1373	2782			0	
	8600	56,7	59,1	60,85	49,7	72,33	59,07	114,2	11,31	1370	2775			0	
	8650	56,9	59,34	61,09	49,61	72,64	58,98	114,9	11,37	1368	2771			0	
	8700	57,11	59,57	61,34	49,52	72,95	58,89	115,5	11,44	1365	2768			0	
	8750	57,3	59,79	61,56	49,42	73,24	58,79	116,2	11,51	1362	2763			0	
	8800	57,41	59,93	61,71	49,25	73,45	58,62	116,9	11,57	1358	2753			0	
	8850	57,52	60,07	61,85	49,09	73,66	58,46	117,5	11,64	1353	2743			0	
	8900	57,61	60,19	61,98	48,91	73,85	58,28	118,2	11,71	1349	2731			0	
	8950	57,62	60,24	62,02	48,67	73,97	58,05	118,9	11,78	1342	2714			0	
	9000	57,64	60,28	62,06	48,44	74,08	57,81	119,5	11,85	1335	2697			0	
	9050	57,69	60,36	62,15	48,24	74,23	57,61	120,2	11,92	1330	2683			0	
	9100	57,85	60,56	62,35	48,12	74,49	57,5	120,8	11,99	1327	2676			0	
	9150	58,01	60,75	62,55	48,01	74,76	57,39	121,5	12,06	1324	2669			0	
	9200	58,17	60,94	62,74	47,9	75,02	57,27	122,2	12,12	1321	2661			0	
	9250	58,32	61,12	62,94	47,79	75,28	57,16	122,8	12,19	1318	2651			0	
	9300	58,48	61,31	63,13	47,68	75,54	57,05	123,5	12,26	1314	2642			0	
	9350	58,68	61,54	63,37	47,6	75,85	56,97	124,2	12,33	1312	2635			0	
	9400	58,92	61,82	63,65	47,56	76,2	56,93	124,8	12,41	1311	2630			0	
	9450	59,17	62,1	63,94	47,52	76,55	56,89	125,5	12,48	1310	2625			0	
	9500	59,49	62,45	64,3	47,54	76,98	56,91	126,2	12,55	1311	2627			0	
	9550	59,83	62,83	64,69	47,58	77,44	56,95	126,8	12,62	1312	2632			0	
	9600	60,18	63,21	65,09	47,62	77,9	56,99	127,5	12,68	1313	2636			0	
	9650	60,45	63,52	65,4	47,6	78,28	56,97	128,2	12,75	1312	2636			0	
	9700	60,71	63,81	65,7	47,57	78,65	56,95	128,8	12,82	1312	2635			0	
	9750	60,96	64,1	66	47,54	79,01	56,92	129,5	12,89	1311	2633			0	
	9800	61,17	64,34	66,25	47,48	79,33	56,85	130,1	12,96	1309	2627			0	
	9850	61,38	64,59	66,5	47,42	79,65	56,79	130,8	13,04	1307	2620			0	
	9900	61,58	64,82	66,74	47,35	79,96	56,72	131,5	13,11	1306	2612			0	
	9950	61,74	65,01	66,94	47,25	80,22	56,62	132,1	13,18	1303	2606			0	
	10000	61,89	65,2	67,13	47,15	80,48	56,52	132,8	13,25	1300	2599			0	
	10050	61,99	65,34	67,28	47,02	80,69	56,39	133,5	13,32	1296	2590			0	
	10100	61,99	65,37	67,31	46,81	80,78	56,18	134,1	13,39	1291	2578			0	
	10150	61,98	65,4	67,34	46,6	80,88	55,97	134,8	13,46	1285	2567			0	
	10200	61,87	65,33	67,27	46,32	80,88	55,69	135,5	13,54	1277	2550			0	
	10250	61,68	65,18	67,11	45,99	80,79	55,36	136,1	13,61	1268	2528			0	
	10300	61,49	65,02	66,95	45,65	80,7	55,03	136,8	13,68	1259	2506			0	
	10350	61,19	64,76	66,68	45,25	80,49	54,62	137,4	13,76	1248	2479			0	
	10400	60,86	64,47	66,38	44,83	80,26	54,21	138,1	13,84	1236	2450			0	
	10450	60,53	64,18	66,08	44,41	80,03	53,79	138,8	13,91	1225	2423			0	
	10500	60,18	63,87	65,76	43,99	79,77	53,36	139,4	13,99	1213	2398			0	
	10550	59,84	63,56	65,44	43,57	79,52	52,94	140,1	14,07	1201	2373			0	
	10600	59,53	63,3	65,17	43,19	79,32	52,56	140,8	14,15	1191	2352			0	
	10650	59,26	63,06	64,93	42,82	79,14	52,2	141,4	14,23	1181	2332			0	
	10700	59	62,84	64,7	42,47	78,98	51,84	142,1	14,31	1171	2313			0	
	10750	58,82	62,7	64,56	42,18	78,91	51,56	142,8	14,39	1163	2297			0	
	10800	58,64	62,57	64,42	41,89	78,83	51,27	143,4	14,47	1155	2281			0	
	10850	58,45	62,41	64,26	41,6	78,74	50,97	144,1	14,55	1147	2263			0	
	10900	58,25	62,25	64,1	41,3	78,64	50,68	144,8	14,63	1139	2243			0	
	10950	58,03	62,08	63,92	41	78,53	50,37	145,4	14,72	1130	2222			0	
	11000	57,77	61,85	63,68	40,66	78,36	50,04	146,1	14,8	1121	2197			0	
	11050	57,5	61,62	63,45	40,33	78,2	49,7	146,7	14,89	1112	2172			0	
	11100	57,41	61,58	63,4	40,12	78,22	49,49	147,4	14,98	1106	2160			0	
	11150	57,34	61,56	63,38	39,92	78,26	49,3	148,1	15,06	1101	2150			0	
	11200	57,17	61,43	63,25	39,67	78,2	49,04	148,7	15,15	1094	2135			0	
	11250	56,93	61,23	63,04	39,36	78,05	48,73	149,4	15,23	1085	2115			0	
	11300	56,65	60,99	62,8	39,03	77,88	48,41	150,1	15,32	1076	2094			0	
	11350	56,28	60,67	62,46	38,65	77,61	48,03	150,7	15,41	1066	2070			0	
	11400	55,89	60,32	62,1	38,26	77,32	47,64	151,4	15,51	1055	2045			0	
	11450	55,31	59,78	61,55	37,76	76,83	47,13	152,1	15,6	1041	2015			0	
	11500	54,73	59,25	61	37,26	76,35	46,63	152,7	15,68	1027	1986			0	
	11550	53,84	58,4	60,13	36,57	75,54	45,94	153,4	15,78	1008	1943			0	
	11600	52,89	57,5	59,2	35,85	74,68	45,22	154	15,89	988,3	1899			0	
	11650	52,16	56,81	58,5	35,27	74,04	44,64	154,7	15,99	972,4	1864			0	
	11700	51,46	56,16	57,82	34,71	73,43	44,08	155,4	16,08	957	1830			0	
	11750	50,58	55,33	56,97	34,05	72,65	43,43	156	16,19	938,9	1787			0	
	11800	49,68	54,47	56,08	33,38	71,83	42,75	156,7	16,3	920,4	1743			0	
	11850	48,78	53,62	55,21	32,72	71,02	42,1	157,4	16,41	902,3	1705			0	
	11900	47,82	52,7	54,27	32,03	70,15	41,4	158	16,52	883,1	1665			0	
	11950	46,55	51,48	53,01	31,16	68,96	40,53	158,7	16,63	859,1	1614			0	
	12000	45,25	50,23	51,71	30,27	67,73	39,64	159,4	16,75	834,6	1561			0	
	12050	43,89	48,91	50,36	29,35	66,44	38,73	160	16,88	809,4	1505			0	
	12100	43,4	48,47	49,91	28,97	66,06	38,34	160,7	17,01	798,8	1485			0	
	12150	43,09	48,21	49,64	28,69	65,85	38,07	161,4	17,13	791,1	1472			0	
	12200	42,92	48,1	49,52	28,51	65,8	37,88	162	17,25	786	1462			0	
	12250	42,92	48,14	49,57	28,42	65,92	37,79	162,7	17,38	783,6	1453			0	
	12300	43,01	48,28	49,71	28,38	66,13	37,76	163,3	17,51	782,6	1445			0	
	12350	43,04	48,36	49,79	28,32	66,27	37,69	164	17,64	780,7	1435			0	
	12400	42,56	47,93	49,35	27,95	65,9	37,33	164,7	17,77	770,7	1411			0	
	12450	41,6	47,02	48,41	27,31	65,03	36,68	165,3	17,9	753	1374			0	
	12500	40,6	46,07	47,43	26,65	64,11	36,03	166	18,05	734,8	1328			0	
	12550	39,71	45,23	46,57	26,06	63,32	35,44	166,7	18,19	718,6	1286			0	
	12600	38,65	44,22	45,53	25,38	62,35	34,76	167,3	18,34	699,8	1245			0	
	12650	36,92	42,54	43,8	24,32	60,69	33,7	168	18,49	670,6	1196			0	
	12700	35,3	40,98	42,19	23,34	59,14	32,71	168,7	18,66	643,4	1146			0	
	12750	34,71	40,44	41,64	22,94	58,66	32,31	169,3	18,82	632,4	1108			0	
	12800	34,51	40,29	41,48	22,76	58,56	32,14	170	18,99	627,6	1075			0	
	12850	33,83	39,67	40,84	22,32	57,99	31,7	170,6	19,17	615,5	1033			0	
	12900	32,16	38,04	39,17	21,33	56,39	30,7	171,3	19,36	588	973,7			0	
	12950	29,99	35,93	36,99	20,07	54,28	29,44	172	19,57	553,2	915,2			0	
	13000	28,89	34,89	35,92	19,41	53,27	28,78	172,6	19,78	535,1	896,1			0	
