															
	<<Vitesse moteur>>	Puissance Brute Mesurée	Puissance à la roue	Puissance roue corrigée	Couple corrigé Roue	Puissance corrigée moteur	Couple corrigé moteur	Vitesse véhicule	Temps acquisition Mesure	Force à la Roue	Accélération Linéaire	Facteur de correction	Rapport de sortie	Rapport Global Dynamique	Facteur de pertes transmission
	tr/min	ch	ch	ch	N.m	ch	N.m	Km/h	s	N	mm/s²	 	 	 	%
	8250	53,55	55,76	57,41	48,87	68,74	58,52	109,6	10,39	1347	2736			0	
	8300	54,24	56,47	58,15	49,2	69,54	58,85	110,2	10,45	1356	2758			0	
	8350	54,8	57,06	58,75	49,42	70,22	59,07	110,9	10,52	1363	2771			0	
	8400	55,19	57,48	59,18	49,48	70,72	59,13	111,6	10,58	1364	2773			0	
	8450	55,58	57,89	59,61	49,55	71,22	59,19	112,2	10,65	1366	2774			0	
	8500	55,91	58,25	59,98	49,56	71,65	59,21	112,9	10,72	1366	2773			0	
	8550	56,14	58,52	60,25	49,5	72	59,14	113,5	10,78	1365	2768			0	
	8600	56,38	58,78	60,53	49,43	72,34	59,08	114,2	10,85	1363	2763			0	
	8650	56,59	59,03	60,78	49,35	72,66	59	114,9	10,92	1361	2757			0	
	8700	56,78	59,24	61	49,24	72,94	58,89	115,5	10,99	1358	2750			0	
	8750	56,96	59,45	61,21	49,14	73,23	58,78	116,2	11,05	1355	2744			0	
	8800	57,1	59,62	61,39	49	73,48	58,64	116,9	11,12	1351	2735			0	
	8850	57,2	59,75	61,52	48,83	73,68	58,47	117,5	11,19	1346	2724			0	
	8900	57,3	59,88	61,65	48,65	73,88	58,3	118,2	11,26	1341	2713			0	
	8950	57,36	59,97	61,75	48,46	74,04	58,1	118,9	11,33	1336	2699			0	
	9000	57,39	60,03	61,82	48,24	74,18	57,89	119,5	11,4	1330	2684			0	
	9050	57,43	60,1	61,88	48,03	74,31	57,67	120,2	11,46	1324	2669			0	
	9100	57,51	60,22	62,01	47,86	74,5	57,5	120,8	11,53	1319	2658			0	
	9150	57,63	60,37	62,16	47,72	74,73	57,36	121,5	11,61	1316	2649			0	
	9200	57,75	60,52	62,32	47,57	74,95	57,22	122,2	11,68	1312	2640			0	
	9250	57,93	60,73	62,53	47,48	75,24	57,13	122,8	11,75	1309	2636			0	
	9300	58,12	60,95	62,76	47,4	75,53	57,05	123,5	11,82	1307	2633			0	
	9350	58,31	61,18	62,99	47,32	75,83	56,96	124,2	11,88	1305	2629			0	
	9400	58,43	61,33	63,15	47,18	76,06	56,83	124,8	11,96	1301	2619			0	
	9450	58,54	61,47	63,29	47,04	76,27	56,69	125,5	12,03	1297	2607			0	
	9500	58,67	61,64	63,46	46,92	76,51	56,57	126,2	12,1	1294	2597			0	
	9550	58,98	61,98	63,82	46,93	76,93	56,58	126,8	12,17	1294	2596			0	
	9600	59,29	62,32	64,17	46,95	77,35	56,59	127,5	12,24	1294	2596			0	
	9650	59,64	62,71	64,57	46,99	77,82	56,64	128,2	12,31	1296	2598			0	
	9700	60,1	63,2	65,07	47,11	78,39	56,76	128,8	12,38	1299	2605			0	
	9750	60,55	63,68	65,57	47,23	78,96	56,88	129,5	12,45	1302	2613			0	
	9800	60,89	64,06	65,96	47,28	79,42	56,92	130,1	12,52	1303	2615			0	
	9850	61,12	64,32	66,23	47,23	79,76	56,87	130,8	12,59	1302	2612			0	
	9900	61,34	64,58	66,5	47,18	80,09	56,82	131,5	12,66	1301	2608			0	
	9950	61,43	64,7	66,62	47,03	80,28	56,67	132,1	12,73	1297	2598			0	
	10000	61,42	64,73	66,65	46,81	80,38	56,46	132,8	12,81	1291	2583			0	
	10050	61,41	64,76	66,68	46,6	80,48	56,24	133,5	12,88	1285	2569			0	
	10100	61,33	64,71	66,63	46,34	80,5	55,98	134,1	12,95	1278	2552			0	
	10150	61,24	64,66	66,58	46,07	80,52	55,72	134,8	13,03	1270	2536			0	
	10200	61,13	64,59	66,5	45,79	80,51	55,44	135,5	13,1	1263	2519			0	
	10250	60,91	64,41	66,32	45,45	80,4	55,09	136,1	13,17	1253	2500			0	
	10300	60,7	64,23	66,14	45,1	80,28	54,75	136,8	13,25	1243	2481			0	
	10350	60,43	64	65,9	44,72	80,11	54,37	137,4	13,32	1233	2459			0	
	10400	60,09	63,7	65,59	44,3	79,87	53,94	138,1	13,4	1221	2435			0	
	10450	59,75	63,4	65,28	43,88	79,63	53,52	138,8	13,48	1210	2410			0	
	10500	59,42	63,1	64,98	43,47	79,4	53,11	139,4	13,56	1198	2386			0	
	10550	59,09	62,81	64,67	43,06	79,16	52,7	140,1	13,63	1187	2362			0	
	10600	58,78	62,54	64,39	42,67	78,95	52,31	140,8	13,71	1176	2338			0	
	10650	58,51	62,31	64,16	42,32	78,79	51,96	141,4	13,79	1167	2314			0	
	10700	58,25	62,09	63,93	41,96	78,62	51,61	142,1	13,87	1157	2291			0	
	10750	58,04	61,92	63,76	41,66	78,52	51,3	142,8	13,96	1149	2268			0	
	10800	57,84	61,77	63,6	41,36	78,43	51,01	143,4	14,04	1140	2246			0	
	10850	57,64	61,6	63,43	41,06	78,33	50,71	144,1	14,12	1132	2223			0	
	10900	57,42	61,43	63,25	40,76	78,22	50,4	144,8	14,21	1124	2201			0	
	10950	57,21	61,25	63,07	40,45	78,11	50,1	145,4	14,29	1115	2179			0	
	11000	57,1	61,18	63	40,23	78,11	49,87	146,1	14,38	1109	2165			0	
	11050	56,99	61,12	62,93	40	78,1	49,64	146,7	14,47	1103	2151			0	
	11100	56,85	61,02	62,83	39,76	78,07	49,4	147,4	14,55	1096	2137			0	
	11150	56,7	60,91	62,72	39,51	78,03	49,15	148,1	14,64	1089	2122			0	
	11200	56,47	60,73	62,53	39,21	77,91	48,86	148,7	14,72	1081	2105			0	
	11250	56,12	60,42	62,21	38,84	77,66	48,49	149,4	14,82	1071	2082			0	
	11300	55,74	60,08	61,87	38,45	77,38	48,1	150,1	14,91	1060	2058			0	
	11350	55,26	59,65	61,42	38,01	77,01	47,65	150,7	15	1048	2032			0	
	11400	54,78	59,21	60,97	37,56	76,63	47,21	151,4	15,09	1036	2005			0	
	11450	54,1	58,57	60,31	37	76,03	46,64	152,1	15,18	1020	1971			0	
	11500	53,41	57,92	59,64	36,43	75,44	46,07	152,7	15,28	1004	1937			0	
	11550	52,66	57,22	58,92	35,83	74,78	45,48	153,4	15,38	987,9	1902			0	
	11600	51,91	56,52	58,2	35,24	74,13	44,88	154	15,48	971,5	1867			0	
	11650	51,17	55,82	57,48	34,65	73,48	44,3	154,7	15,58	955,4	1832			0	
	11700	50,43	55,12	56,76	34,07	72,83	43,72	155,4	15,69	939,4	1797			0	
	11750	49,31	54,06	55,66	33,27	71,8	42,92	156	15,79	917,4	1747			0	
	11800	48,17	52,96	54,53	32,46	70,74	42,1	156,7	15,89	894,9	1696			0	
	11850	46,53	51,37	52,89	31,35	69,16	41	157,4	16,02	864,4	1625			0	
	11900	45,27	50,16	51,65	30,48	67,99	40,13	158	16,14	840,4	1571			0	
	11950	44,55	49,48	50,94	29,94	67,36	39,59	158,7	16,26	825,5	1540			0	
	12000	43,72	48,7	50,14	29,35	66,62	39	159,4	16,38	809,2	1505			0	
	12050	42,85	47,87	49,29	28,73	65,84	38,38	160	16,5	792,1	1468			0	
	12100	41,79	46,87	48,26	28,01	64,87	37,66	160,7	16,64	772,3	1423			0	
	12150	41,49	46,61	47,99	27,74	64,68	37,39	161,4	16,77	764,9	1407			0	
	12200	41,68	46,85	48,24	27,77	65	37,42	162	16,9	765,7	1410			0	
	12250	42,3	47,52	48,93	28,05	65,75	37,7	162,7	17,03	773,5	1427			0	
	12300	42,35	47,62	49,03	28	65,92	37,64	163,3	17,15	771,9	1424			0	
	12350	41,82	47,14	48,53	27,6	65,5	37,25	164	17,28	761	1401			0	
	12400	40,03	45,4	46,75	26,48	63,78	36,13	164,7	17,43	730,1	1336			0	
	12450	38,51	43,93	45,24	25,52	62,33	35,17	165,3	17,58	703,6	1276			0	
	12500	37,49	42,96	44,24	24,86	61,4	34,5	166	17,73	685,3	1230			0	
	12550	37,14	42,66	43,93	24,58	61,16	34,23	166,7	17,88	677,8	1206			0	
	12600	36,04	41,61	42,85	23,88	60,15	33,53	167,3	18,03	658,5	1170			0	
	12650	34,59	40,21	41,4	22,99	58,78	32,63	168	18,2	633,8	1120			0	
	12700	33,56	39,23	40,4	22,34	57,84	31,99	168,7	18,38	615,9	1071			0	
	12750	33,26	38,99	40,15	22,12	57,66	31,76	169,3	18,56	609,7	1036			0	
	12800	33,14	38,92	40,08	21,99	57,65	31,64	170	18,74	606,3	1012			0	
	12850	32,58	38,42	39,56	21,62	57,2	31,27	170,6	18,92	596,1	983,6			0	
	12900	31,21	37,09	38,2	20,8	55,91	30,44	171,3	19,12	573,4	934,2			0	
	12950	29,67	35,61	36,66	19,88	54,45	29,53	172	19,33	548,2	893,6			0	
	13000	28,04	34,03	35,04	18,93	52,9	28,58	172,6	19,54	522	862,7			0	
